id,name,detected_at,start_time,end_time,confidence,severity,summary,trigger_event,detection_method,event_fact,state_framing,trusted_framing,framing_delta,status,target_regions,narrative_id,cluster_id,review_status,confidence_raw,signal_count
127,voenacher blitz — 22 posts (z=3.8),2026-03-24 16:50:00.528194+00,2026-03-24 16:50:00.528194+00,,0.7594311,MEDIUM,"Actor blitz: voenacher (ru_proxy) published 22 signals today (baseline: 11±3/day, z=3.8σ). Narratives: .",actor_blitz,,,,,,ACTIVE,{global},,,auto,,24
126,rezident_ua blitz — 10 posts (z=4.9),2026-03-22 22:50:00.356771+00,2026-03-22 22:50:00.356771+00,,0.98652166,MEDIUM,"Actor blitz: rezident_ua (unverified_anonymous) published 10 signals today (baseline: 3±2/day, z=4.9σ). Narratives: .",actor_blitz,,,,,,RESOLVED,{global},,,auto,,10
125,Bild Baltic Map Panic — Ukrainian Channel Fabrication (10 signals),2026-03-22 17:10:16.96004+00,,,0.95,HIGH,"Ukrainian Telegram channels transformed speculative Bild article into fabricated invasion claims. 1.5M views, 0 verifiable sources. Top threat this week.",,,,,,,RESOLVED,"{baltic,estonia}",,,auto,,0
124,"western_fatigue spike — err_rus, rt_russian, RVvoenkor (7 signals)",2026-03-22 16:50:00.365136+00,2026-03-22 16:50:00.365136+00,,0.6,MEDIUM,"Narrative ""western_fatigue"" spiking across 5 actors (rss, telegram_channel): err_rus, rt_russian, RVvoenkor, rybar, tass_ru. 7 signals in 24h (baseline: 2±1 actors/day, z=3.0σ).",narrative_spike,,,,,,RESOLVED,{global},,,auto,,7
123,Hostile framing of US envoy's statements to legitimize Lukashenko and downplay Ukraine conflict,2026-03-21 21:59:14.030493+00,2026-03-21 21:59:14.030493+00,,0.8,HIGH,"Event: US Special Envoy John Cole met with Belarusian President Alexander Lukashenko in Minsk, following a visit to Vilnius.. State media framing: Russian state media emphasizes the meeting between Lukashenko and Cole, highlighting Cole's statements that Lukashenko's opinion is 'valuable' and that the Middle East situation is more important to the US than the conflict in Ukraine. They also report on the lifting of sanctions on Belarusian entities and a potential invitation for Lukashenko to visit the US, framing it as a 'real victory' for Belarus.. Detected across 6 sources (delfi_lt_rus, interfax, kommersant, pul_1, rt_russian, verstka). Confidence: 80%.",framing_analysis,framing_analysis,"US Special Envoy John Cole met with Belarusian President Alexander Lukashenko in Minsk, following a visit to Vilnius.","Russian state media emphasizes the meeting between Lukashenko and Cole, highlighting Cole's statements that Lukashenko's opinion is 'valuable' and that the Middle East situation is more important to the US than the conflict in Ukraine. They also report on the lifting of sanctions on Belarusian entities and a potential invitation for Lukashenko to visit the US, framing it as a 'real victory' for Belarus.","Trusted/independent media also covers Cole's visit to Minsk and Vilnius, noting his meetings with various Lithuanian officials. They speculate on the purpose of his visit, including the potential for resolving the transit of Belarusian fertilizers through Lithuania and the lifting of sanctions. Some reports mention the lifting of sanctions and a possible US invitation for Lukashenko.","Russian state media, particularly RT and Pul Pervogo, selectively highlight Cole's statements to portray Lukashenko as a respected international figure whose opinion is valued by the US, and to suggest a shift in US priorities away from Ukraine. They also emphasize the lifting of sanctions as a 'victory' for Belarus. While the lifting of sanctions is reported by independent media, the specific quotes attributed to Cole regarding Lukashenko's 'valuable opinion' and the US prioritizing the Middle East over Ukraine appear to be amplified and framed to serve a specific narrative by state media. The claim of Lukashenko being invited to the US is also presented as a definitive outcome by some state-aligned sources.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",5138,auto,0.8,11
122,Omission of Russian involvement in shadow fleet activities,2026-03-21 21:59:14.027142+00,2026-03-21 21:59:14.027142+00,,0.9,MEDIUM,"Event: Swedish authorities intercepted the tanker Sea Owl I, suspected of being part of Russia's shadow fleet, and arrested its Russian captain.. State media framing: RT reports that Sweden intercepted the Comoros-flagged tanker Sea Owl I in the Baltic Sea, suspected of lacking nationality. The article is very brief and factual, citing Reuters.. Detected across 1 sources (bnn). Confidence: 90%.",framing_analysis,framing_analysis,"Swedish authorities intercepted the tanker Sea Owl I, suspected of being part of Russia's shadow fleet, and arrested its Russian captain.","RT reports that Sweden intercepted the Comoros-flagged tanker Sea Owl I in the Baltic Sea, suspected of lacking nationality. The article is very brief and factual, citing Reuters.","BNN/Baltic Media reports that a Swedish court ordered the arrest of the captain of a ship sailing under a fake flag, believed to be part of Russia's shadow fleet. It explicitly states the captain is a Russian citizen and cites the BBC.","Russian state media omits the crucial detail that the ship is suspected of being part of Russia's 'shadow fleet' and that the arrested captain is a Russian citizen. Instead, it uses the vague phrase 'suspected of lacking nationality' and focuses on the Comoros flag, which is less incriminating for Russia.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",6015,auto,0.9,2
121,Widespread Mobile Internet Outages Are Lawful and Needed for… — Injection cascade: 2-category amplification over 9d (6 signals),2026-03-21 21:55:36.53199+00,2026-03-21 21:55:36.53199+00,,0.6666667,MEDIUM,Injection cascade: 6 signals over 202h from 2 categories. A social media event amplified by trusted media into a region-wide story. Score: 8/12. Chain: russian_independent(+0h) → ukraine_media(+144h),injection_cascade,injection_cascade,"Widespread Mobile Internet Outages Are Lawful and Needed for Security, Kremlin Says","INJECTION detected: score 8/12, social_origin + organic_spread_202h + disproportionate_6_signals + slow_cascade_144h",,,RESOLVED,,,,auto,,6
120,Omission of official apology to control narrative,2026-03-21 19:34:15.939211+00,2026-03-21 19:34:15.939211+00,,0.8,HIGH,"Event: Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.. State media framing: Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.. Detected across 4 sources (interfax, kommersant, meduza, readovkanews). Confidence: 80%.",framing_analysis,framing_analysis,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.","Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.","Independent media (Meduza) reports on the completion of livestock culling and also highlights a 'United Russia' deputy apologizing to farmers for the forced culling 'on behalf of the Novosibirsk Oblast authorities,' suggesting a more critical perspective on the government's actions.","The key difference is the inclusion of the apology from a 'United Russia' deputy in the independent media, which is completely absent from the state media coverage. State media focuses solely on the positive aspects of disease control and compensation, omitting any acknowledgment of potential grievances or apologies from officials regarding the forced culling.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",3826,auto,,14
119,Systematic doubt-casting and downplaying of airspace violation,2026-03-21 19:34:15.934403+00,2026-03-21 19:34:15.934403+00,,0.8,HIGH,"Event: An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.. State media framing: Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.. Detected across 11 sources (bnn, defence_blog, err_en, err_rus, interfax, kommersant, meduza, mke_ee, postimees_rus, tass_ru, tribuna_ee). Confidence: 80%.",framing_analysis,framing_analysis,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.","Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.","Trusted and independent media directly state that a Russian fighter jet 'breached' or 'violated' Estonia's airspace, citing Estonian officials and the Ministry of Foreign Affairs. They report the diplomatic protest as a direct consequence of the violation.","Russian state media consistently uses hedging language ('allegedly', 'as asserted') to cast doubt on the veracity of Estonia's claim, even though the event is reported as a fact by Estonian and independent media. One Russian state-affiliated outlet also downplays the incident by stating 'no threat to Estonia's security' and that such accusations are 'constant'.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",4138,auto,,14
118,Systematic omission of public discontent regarding livestock culling,2026-03-21 19:34:15.921954+00,2026-03-21 19:34:15.921954+00,,0.9,HIGH,"Event: Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.. State media framing: Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.. Detected across 4 sources (interfax, kommersant, meduza, tass_ru). Confidence: 90%.",framing_analysis,framing_analysis,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,"Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.","Meduza highlights the governor's first comment on the forced culling, noting that it 'caused protests from farmers' and quotes him on the 'strict but absolutely necessary measures'.","Russian state media systematically omits any mention of farmer protests or public discontent regarding the culling, focusing solely on the official narrative of effective and necessary measures. The inclusion of an unrelated alcohol sales initiative also serves to dilute the focus on the controversial culling.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",4032,auto,,11
117,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,2026-03-21 19:32:55.414902+00,2026-03-21 19:32:55.414902+00,,0.9,MEDIUM,"Event: Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.. State media framing: Russian state media extensively covers Trump's statements, emphasizing his criticisms of NATO, his doubts about allies' commitment, and the 'bad future' he predicts for the alliance. They also highlight reactions from European politicians (Filippo, Stubb, Merz) that align with or amplify Trump's critical stance on NATO, and include comments from Russian officials (Dmitriev). The coverage suggests a weakening and divided NATO.. Detected across 4 sources (meduza, rt_russian, tribuna_ee, ). Confidence: 90%.",framing_analysis,framing_analysis,"Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.","Russian state media extensively covers Trump's statements, emphasizing his criticisms of NATO, his doubts about allies' commitment, and the 'bad future' he predicts for the alliance. They also highlight reactions from European politicians (Filippo, Stubb, Merz) that align with or amplify Trump's critical stance on NATO, and include comments from Russian officials (Dmitriev). The coverage suggests a weakening and divided NATO.","","",RESOLVED,"{baltic,estonia,latvia,lithuania}",nato_provocation,4487,auto,,15
111,Trusted media amplifies Russia-as-culture-weapon narrative across 3 Baltic categories,2026-03-21 19:28:49.097251+00,2026-03-21 19:28:49.097251+00,,0.41666666,MEDIUM,Injection cascade: 9 signals over 102h from 3 categories. A social media event amplified by trusted media into a region-wide story. Score: 5/12. Chain: estonian_media(+0h) → baltic_media(+17h) → russian_language_ee(+48h),injection_cascade,injection_cascade,"Пурга: мы не можем принять, что Россия использует культуру как инструмент военной пропаганды","WATCH detected: score 5/12, organic_spread_102h + 3_categories + slow_cascade_24h",,,RESOLVED,,,,auto,,9
108,Fabricated quote to portray US-Europe disunity,2026-03-21 19:28:46.990764+00,2026-03-21 19:28:46.990764+00,,0.9,HIGH,"Event: Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.. State media framing: Russian state media focuses on Stubb's concern that the US is shifting its attention from Ukraine to Iran, and TASS adds a fabricated quote about Europe refusing to help the US because it wasn't warned about an attack on Iran.. Detected across 8 sources (err_rus, interfax, kommersant, meduza, postimees_rus, tass_ru, tribuna_ee, ukrinform). Confidence: 90%.",framing_analysis,framing_analysis,"Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.","Russian state media focuses on Stubb's concern that the US is shifting its attention from Ukraine to Iran, and TASS adds a fabricated quote about Europe refusing to help the US because it wasn't warned about an attack on Iran.","Trusted media reports that Stubb suggested Europe could help the US in the Strait of Hormuz in exchange for US support for Ukraine, and also mentions Europe's reluctance to help due to lack of consultation from the US.","Russian state media, particularly TASS, fabricates a direct quote from Stubb stating that Europe refused to help the US because it wasn't warned about an attack on Iran. The other Russian state media outlets selectively focus on Stubb's 'concern' about US attention shifting, omitting the conditional offer of European help for Ukraine support. Trusted media accurately reports Stubb's conditional offer and the reason for European reluctance.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",4306,auto,,10
106,Manufactured outrage and hostile framing of a legal extradition process,2026-03-21 19:28:45.966505+00,2026-03-21 19:28:45.966505+00,,0.9,HIGH,"Event: A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.. State media framing: Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.. Detected across 7 sources (err_rus, kommersant, notesfrompoland, pravda_en, rt_russian, tass_ru, ukrinform). Confidence: 90%.",framing_analysis,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Trusted/independent media report the court's decision as a factual development, noting the reason for the extradition request (illegal excavations in Crimea) and clarifying that the decision is subject to appeal and final approval by the Polish justice minister. Ukraine's MFA positively assessed the decision.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",RESOLVED,{poland},western_fatigue,4174,auto,,14
104,Manufactured outrage: tass_ru/rt_russian creates 4-article reaction chain over Крикунова Латвии,2026-03-21 19:27:27.930677+00,2026-03-21 19:27:27.930677+00,,0.85,MEDIUM,"Manufactured outrage chain: 4 signals from tass_ru, rt_russian in 8h. 2 outrage escalations. State media created a reaction cycle from a single event.",outrage_chain,outrage_chain,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,"2 outrage escalations from tass_ru, rt_russian in 8h",,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,4
86,War Panic,2026-03-20 07:50:00.283983+00,2026-03-20 07:50:00.283983+00,2026-03-21 15:31:19.383888+00,0,HIGH,"Detected War Panic across osint_perplexity, rss, ru_legislation, telegram. 23 signals from 13 actors including 15min.lt, BALTNEWS, BNN (Baltic). Evidence: Cross-outlet amplification: 13 outlets; baseline: 4±4 actors/day, today: 13 (>2σ).",multi_source_coordination,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,0
84,Russophobia,2026-03-19 01:50:00.125571+00,2026-03-19 01:50:00.125571+00,2026-03-21 15:31:19.383888+00,0,HIGH,"Detected Russophobia across osint_perplexity, rss, telegram. 48 signals from 16 actors including 15min.lt, Alexey Stefanov (Правфонд), BALTNEWS. Evidence: Cross-outlet amplification: 16 outlets; baseline: 6±5 actors/day, today: 16 (>2σ).",multi_source_coordination,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,0
83,Isolation,2026-03-18 19:50:00.608707+00,2026-03-18 19:50:00.608707+00,2026-03-21 15:31:19.383888+00,0,HIGH,"Detected Isolation across rss, telegram. 33 signals from 14 actors including 15min.lt, Alexey Stefanov (Правфонд), BALTNEWS. Evidence: Cross-outlet amplification: 14 outlets; baseline: 6±4 actors/day, today: 14 (>2σ).",multi_source_coordination,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,0
77,Delegitimization,2026-03-17 01:50:00.508157+00,2026-03-17 01:50:00.508157+00,,0,HIGH,"Detected Delegitimization across osint_perplexity, rss, telegram. 61 signals from 19 actors including Alexey Stefanov (Правфонд), BALTNEWS, BNN (Baltic). Evidence: Cross-outlet amplification: 19 outlets; baseline: 7±5 actors/day, today: 19 (>2σ).",multi_source_coordination,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,0
72,Baltic Political Repression Narrative Blitz,2026-03-14 22:50:05.205796+00,2026-03-09 14:30:38+00,2026-03-14 12:39:41+00,1,HIGH,"A coordinated pro-Kremlin narrative campaign pushes false claims of political repression, ethnic tension, and societal collapse in the Baltic states, using forged intelligence and emotive rhetoric. Actors like Alexey Stefanov and state-linked media outlets amplify the message across Telegram, YouTube, RSS, and OSINT platforms to erode trust in Baltic governance and stoke fear among Russian-speaking populations. The surge follows increased regional support for Ukraine and Belarusian opposition fi",Latvian President hosting Svetlana Tikhanovskaya,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,42
71,Kallas foreign policy criticism amplification,2026-03-14 04:51:05.701142+00,2026-03-11 04:11:00+00,2026-03-13 17:06:03+00,0.15,MEDIUM,"Detected Pm Criticism across rss, youtube. 3 signals from 3 actors including Aleksandr Chaplygin YouTube, ERR RUS, Postimees RUS. Evidence: Cross-outlet amplification: 3 outlets (1 non-legitimate); FIMI keywords: PM/Leadership incompetence.",Automated detection — trigger analysis pending,,,,,,RESOLVED,{estonia},,,auto,,3
70,Chaplygin-Kallas anti-Western framing push,2026-03-14 04:50:05.524508+00,2026-03-08 05:23:25+00,2026-03-13 21:00:57+00,1,MEDIUM,"A coordinated cross-outlet campaign amplifies pro-Kremlin narratives framing the U.S. as seeking to divide Europe, using Estonian foreign minister Kaja Kallas as a focal point. Outlets like RT, TASS, and Kommersant echo and amplify signals from non-legitimate actors such as Aleksandr Chaplygin, targeting Russian-speaking audiences in the Baltics via RSS and YouTube. This effort aims to exploit regional security tensions and erode trust in transatlantic unity.",Kaja Kallas's statements criticizing U.S. influence in Europe,,,,,,RESOLVED,{estonia},,,auto,,20
69,KOOS Russian Genocide Propaganda Push,2026-03-13 16:50:11.124011+00,2026-03-07 03:21:56+00,2026-03-09 08:29:36+00,0.4,CRITICAL,"This coordinated information operation pushes false narratives of genocide against Russians in Estonia, frames Baltic states as ungrateful and anti-Russian, and exploits citizenship issues to undermine Estonian sovereignty. Promoted by Kremlin-linked actors KOOS YouTube, RT Russian, and TASS, it aims to delegitimize Baltic governments and stoke ethnic tensions. The campaign leverages historical grievances and disinformation to advance Russian geopolitical influence in the region.",No clear trigger,,,,,,RESOLVED,{estonia},,,auto,,4
68,Narva Separatism Propaganda Surge,2026-03-13 16:50:09.222821+00,2026-03-07 17:05:00+00,2026-03-12 14:30:00+00,0.4,CRITICAL,"A coordinated FIMI campaign pushes narratives of Estonian state repression and separatist sentiment in Narva, amplified by Russian-language outlets like ERR RUS and KOOS YouTube. These actors exploit local tensions to undermine trust in Estonian institutions, likely aiming to destabilize the Baltic region by amplifying ethnic Russian grievances. The effort matters due to its potential to inflame interethnic divisions and erode state legitimacy.","",,,,,,RESOLVED,{estonia},,,auto,,4
67,Chaplygin EKRE Nuclear Fear Amplification,2026-03-13 16:50:07.192627+00,2026-03-07 18:30:52+00,2026-03-13 12:11:00+00,0.4,HIGH,"A cross-outlet information operation amplifies EKRE leader Martin Helme's claims about U.S. intentions in Estonia, particularly stoking fears about nuclear weapons and resource exploitation. Pro-Kremlin outlets like RT Russian and Aleksandr Chaplygin's YouTube channel, alongside regional Russian-language media, are synchronizing messaging to undermine trust in U.S.-Estonia military cooperation and frame Western partnerships as self-serving. This coordinated push exploits domestic political tensi",Martin Helme's public statements on U.S. interests in Estonia and nuclear weapons deployment,,,,,,RESOLVED,{estonia},,,auto,,8
66,KOOS Anti-Estonia YouTube Blitz,2026-03-13 16:50:05.218237+00,2026-03-08 00:00:00+00,2026-03-09 08:36:23+00,0.7,MEDIUM,"KOOS YouTube channel is pushing a coordinated campaign framing Estonia as a dictatorship waging war on its own people and dragging the Baltics into conflict. The content, in Russian, uses FIMI-laden narratives to erode trust in Estonian institutions and justify disengagement from NATO and the EU. This surge in activity targets Baltic audiences and aligns with broader Russian information efforts to destabilize regional cohesion.",No clear trigger,,,,,,RESOLVED,{estonia},,,auto,,14
65,Baltic Energy Crisis Disinformation Push,2026-03-13 04:50:31.51584+00,2026-03-06 15:05:06+00,2026-03-12 17:27:01+00,1,HIGH,"A coordinated narrative burst promotes economic instability and government distrust in the Baltic states, linking regional energy prices to geopolitical tensions and alleging state-corporate collusion. The operation is driven by Russian-aligned media actors including Baltnews Estonia and Настоящее Время Балтия across Telegram, RSS, and YouTube. This surge exploits rising energy costs and EU policy debates to amplify anti-government sentiment ahead of sensitive political periods.",Recent spikes in regional energy prices and proposed EU-level measures on energy taxation and digital regulation,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,12
64,Stefanov Baltic Repression Narrative Blitz,2026-03-13 04:50:29.901526+00,2026-03-06 10:08:01+00,2026-03-12 17:16:39+00,1,HIGH,"A coordinated narrative burst promotes the idea of systematic repression of Russian speakers in Estonia and Latvia, using claims of deportations, political persecution, and border disruptions. Pushed primarily by pro-Kremlin actors like Alexey Stefanov (Правфонд) across Russian-language platforms, the campaign amplifies grievances to undermine Baltic state legitimacy. It leverages real policy measures—like border controls—as proof of broader ethnic targeting, aiming to deepen ethnic divides and ",No clear trigger,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,26
63,Estonian Language Militarization Push,2026-03-13 04:50:27.762494+00,2026-03-06 10:00:32+00,2026-03-12 17:16:39+00,1,HIGH,"A coordinated narrative burst promotes the framing of Estonia's language requirements in military service as discriminatory or oppressive, primarily targeting Russian-speaking audiences. Actors linked to Russian state-aligned media and legal entities like Правфонд amplify the message across Telegram, YouTube, and RSS feeds to stoke ethnic tensions. The campaign exploits proposed language policy changes to undermine trust in Estonian institutions and fuel separatist sentiment.",Estonian government proposal to require knowledge of state language for military service starting in 2027,,,,,,RESOLVED,{estonia},,,auto,,34
62,Baltic Tension Amplification by Pro-Russian Media,2026-03-13 04:50:23.503683+00,2026-03-06 05:47:01+00,2026-03-12 22:31:38.186298+00,1,HIGH,"A coordinated narrative burst pushes heightened threat perceptions in the Baltics, linking local incidents to broader anti-NATO and anti-EU themes. Pro-Russian media outlets and affiliated actors amplify instability narratives across Telegram, YouTube, and OSINT platforms to undermine Western unity. The campaign exploits regional security fears, likely aiming to erode public trust in Baltic governments and alliance structures.",No clear trigger,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,43
59,Baltic War Fear Propaganda Push,2026-03-13 04:50:18.004183+00,2026-03-06 07:14:35+00,2026-03-12 21:12:47+00,1,CRITICAL,"A coordinated influence operation pushes narratives portraying NATO as a provocateur and stokes fear of nuclear escalation and World War III in the Baltics, aiming to erode public support for EU/NATO membership. Pro-Kremlin and fringe media outlets amplify these messages via RSS and YouTube, exploiting regional security concerns. The campaign leverages ongoing Ukraine war coverage to insert disinformation framing Western defense efforts as aggressive and destabilizing.",No clear trigger,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,225
58,Rail Baltica Corruption Smear,2026-03-13 04:50:16.021333+00,2026-03-09 10:27:23+00,2026-03-12 13:21:47+00,0.3,MEDIUM,"A cross-outlet influence campaign amplifies allegations of corruption and mismanagement in the Rail Baltica project, primarily through Russian-language and non-legitimate outlets. The effort, led by Aleksandr Chaplygin and echoed by BNN and LSM RUS, exploits procedural scrutiny to undermine trust in a key NATO infrastructure project in the Baltics. This fits a pattern of FIMI narratives aiming to destabilize regional cohesion and EU/NATO credibility.",Establishment of service investigation commissions into Rail Baltica procurement in March,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,6
56,Chaplygin Anti-Baltic Media Network,2026-03-13 04:50:11.56759+00,2026-03-06 06:11:28+00,2026-03-12 17:42:00+00,1,MEDIUM,"A coordinated cross-outlet influence campaign amplifies Kremlin-aligned narratives across Baltic Russian-language media and international platforms, primarily driven by Aleksandr Chaplygin's YouTube content and replicated by state-linked outlets like RT, TASS, and ERR RUS. The operation dilutes Estonian sovereignty discourse by flooding the information space with mixed-content distraction and pro-Moscow perspectives, undermining public trust in national institutions.",No clear trigger,,,,,,RESOLVED,{estonia},,,auto,,206
55,RT Baltic Media Replacement Narrative,2026-03-13 04:50:09.642973+00,2026-03-06 11:00:50+00,2026-03-12 15:53:56+00,0.4,MEDIUM,"Настоящее Время Балтия is pushing a narrative on YouTube focused on media disruption and foreign influence in the Baltics, particularly highlighting the replacement of Russian-language public broadcasting in Latvia with Belarusian state radio. The campaign amplifies themes of cultural erosion, election integrity fears, and energy insecurity, likely targeting Russian-speaking audiences to undermine trust in Baltic institutions. This surge matters due to its timing ahead of electoral events and it",Closure of Latvian public Russian-language radio and upcoming 2026 frequency changes,,,,,,RESOLVED,"{baltic,estonia,latvia,lithuania}",,,auto,,8
34,"EKRE Anti-Western ""US Exploits Estonia"" Push",2026-03-11 12:00:00+00,2026-03-11 00:00:00+00,,0.75,HIGH,"EKRE leader Martin Helme stated ""US is only interested in Estonian mineral resources"", simultaneously pushing nuclear weapons deployment fears. Messaging appeared across ERR RUS, Tribuna.ee, and English security RSS, with Chaplygin YouTube amplifying. Narrative convergence between mainstream Estonian political party and pro-Kremlin amplifiers creates a dangerous legitimacy bridge for anti-Western sentiment.",Helme statement about US interest in Estonian minerals after meeting US delegation,,,,,,RESOLVED,{estonia},,,auto,,10
32,"KOOS ""Russian Genocide"" Propaganda Push",2026-03-09 12:00:00+00,2026-03-08 00:00:00+00,,0.92,CRITICAL,"KOOS party YouTube channel published inflammatory videos including ""12 Signs of Genocide Against Russians in Estonia"", ""Time to leave EU and NATO"", ""Estonia fights simple people"", ""Ungrateful Balts"". Textbook FIMI: delegitimizing Estonian institutions, framing EU/NATO membership as harmful, portraying Estonian Russians as victims of state persecution. KOOS is a known pro-Kremlin organization.","Publication of ""12 Signs of Genocide Against Russians in Estonia"" video on March 8",,,,,,RESOLVED,{estonia},,,auto,,21
33,Narva Coalition Crisis Amplification,2026-03-07 12:00:00+00,2026-03-06 00:00:00+00,,0.7,MEDIUM,"Narva city council deputy Egorov faction switch and reversal covered by 4 Russian-language outlets (ERR RUS, Gazeta.ee, Postimees RUS, Tribuna.ee) with 14 signals in 7 days. Amplification pattern — particularly Tribuna.ee framing as ""deputy shook power twice in one week"" — suggests opportunistic narrative exploitation to portray Narva governance as chaotic. Narva is a key target for separatism narratives due to 95% Russian-speaking population.","Deputy Egorov announced faction switch on March 6, then reversed",,,,,,RESOLVED,{estonia},,,auto,,14
