site,week_of_year,ndvi_expected,ndvi_std,ndvi_mad,ndvi_robust_std,ndvi_n_years,bsi_expected,bsi_std,bsi_mad,bsi_robust_std,bsi_n_years,ndbi_expected,ndbi_std,ndbi_mad,ndbi_robust_std,ndbi_n_years,fuel_ratio_expected,fuel_ratio_std,fuel_ratio_mad,fuel_ratio_robust_std,fuel_ratio_n_years,metal_ratio_expected,metal_ratio_std,metal_ratio_mad,metal_ratio_robust_std,metal_ratio_n_years
Cherekha,1,0.1734615338537425,0.06676995318463735,0.012149047511837097,0.01801217784104968,3,-0.3524780151338658,0.06091326888294484,0.0019808816812890706,0.002936855180679176,3,-0.6621380448002248,0.14703882884069838,0.00490351289036528,0.007269948211255564,3,0.16504197349798091,0.13804165155032555,0.018537269240841592,0.027483355376471744,3,1.3434133545437108,0.1577707658286024,0.008008373076370257,0.011873213923026541,3
Cherekha,2,0.048875444698058386,nan,nan,nan,1,-0.42286826319031107,nan,nan,nan,1,-0.6856219661703906,nan,nan,nan,1,0.12298847638292104,nan,nan,nan,1,0.9960084119366993,nan,nan,nan,1
Cherekha,3,0.0957836777790218,nan,nan,nan,1,-0.29929325832537174,nan,nan,nan,1,-0.6378775560972579,nan,nan,nan,1,0.1764638577050335,nan,nan,nan,1,1.1615741809056281,nan,nan,nan,1
Cherekha,4,0.19332377409254284,nan,nan,nan,1,-0.3193055536312725,nan,nan,nan,1,-0.648449992864463,nan,nan,nan,1,0.1659973679228428,nan,nan,nan,1,1.3979751667751965,nan,nan,nan,1
Cherekha,5,0.19462243438136076,0.06770129773256164,0.04787204672182377,0.07097509646977591,2,-0.2875493620568826,0.003352812896187582,0.0023707967349439474,0.003514943239227896,2,-0.5735708153376593,0.06851939316243341,0.04845052754794382,0.0718327521425815,2,0.19359239866416067,0.001695127416205138,0.0011986360909738841,0.0017770978684778806,2,1.4086533433155586,0.1738725221577189,0.12294643947973127,0.18228039117264958,2
Cherekha,6,0.19703972432389483,0.08127254587797718,0.07418420060684404,0.10998549581970697,3,-0.3163592361339068,0.03754359059884988,0.012739237920391278,0.01888719414077211,3,-0.6240396685037345,0.02826820669112969,0.004841815266054428,0.007178475313452295,3,0.17679688917944156,0.03066826550843272,0.02584177510918073,0.03831301577687135,3,1.42208805584869,0.21096329000874242,0.18556743305413193,0.27512227624605595,3
Cherekha,7,0.20507225514357302,0.08842756606921671,0.0625277316113646,0.09270361488700915,2,-0.2773390665093324,0.042775583637207286,0.030246905259081594,0.04484406173711437,2,-0.5679099597666745,0.08206724841712483,0.05803030786906993,0.08603573444668307,2,0.21729283550889977,0.04896873528980884,0.034626124789552834,0.05133669261299103,2,1.4532303012182017,0.2537964006756689,0.17946115595850354,0.26606910982407733,2
Cherekha,8,0.11355756105916807,nan,nan,nan,1,-0.31977619232975196,nan,nan,nan,1,-0.7489965829379643,nan,nan,nan,1,0.13183020411680663,nan,nan,nan,1,1.22730886710275,nan,nan,nan,1
Cherekha,9,0.22552172664388515,0.1364543060377772,0.11016655894003835,0.16333294028450085,3,-0.20026626118516233,0.06194941830967143,0.01957700927803624,0.029024873955616527,3,-0.38886269801645934,0.13460457657118172,0.02982529426118158,0.04421898127162781,3,0.2860624470245158,0.12478306819218578,0.12210663358950674,0.1810352949598027,3,1.5379136886946,0.33746945095284003,0.25116752461550496,0.37238097199494763,3
Cherekha,10,0.34351698408809456,0.04013337294704588,0.03721929971610294,0.05518133375909421,3,-0.14916838067026134,0.13782756194064624,0.008967578366578549,0.013295331686289356,3,-0.31649574852662155,0.19297847473418211,3.712561807872605e-05,5.5042441363519245e-05,3,0.3163786203645949,0.1778810643285582,0.0019723141279420764,0.002924152926086922,3,1.843568513639296,0.1254967926273487,0.10969485048660266,0.1626335853314371,3
Cherekha,11,0.29301197118015027,0.1545204051335727,0.13634531098780628,0.20214555807052156,3,-0.1404562383762214,0.1690400703326712,0.15643815998061755,0.23193521598726358,3,-0.28060069518299624,0.34571190410812397,0.25332977644661225,0.3755867265597473,3,0.36285746619053916,0.23256453654330053,0.20853064289882772,0.30916753116180196,3,1.6714319661459034,0.4354857393568774,0.4096215282045703,0.6073048777160959,3
Cherekha,12,0.280517540912874,0.053290003297606185,0.037681722701190815,0.0558669220767855,2,0.035822718106524376,0.014380389379889846,0.010168470846623121,0.015075774877203438,2,-0.0010732901064500634,0.006517059353723271,0.004608256862412944,0.0068322016242134305,2,0.7108671307046577,0.09614928549829786,0.06798781178208779,0.10079872974812336,2,1.6718322014341762,0.12259445018210793,0.08668736705960489,0.1285226904025702,2
Cherekha,13,0.30908111204971705,0.17739757640883363,0.12543902924474498,0.1859759047582589,2,0.07290951900998158,0.054425943173295334,0.038484953490310815,0.05705779204473481,2,0.0456652383363199,0.028371442838730658,0.020061639623312963,0.0297433869055238,2,0.8056732435085554,0.1340355958065826,0.09477747871521375,0.14051708994317588,2,1.7828064151726,0.5725745822303924,0.4048713698301649,0.6002622929102025,2
Cherekha,14,0.4262458798839842,0.032649183715219306,0.02308645920523697,0.03422798441768433,2,0.10791373162821918,0.004866739760678389,0.0034413046870458847,0.0051020783290142285,2,0.05019228390716986,0.020935814623424625,0.014803856489888037,0.021948197631908,2,0.7195315976566621,0.05417104922134393,0.03830471624840254,0.0567905723098816,2,2.1376234608279088,0.1939160033583132,0.13711932095525659,0.2032931052482634,2
Cherekha,15,0.41674075690494367,0.0349686652566244,0.024726580332001535,0.03665962800022547,2,0.13333551855368406,0.014586318622532263,0.010314084810540185,0.015291662140106877,2,0.08763058719569011,0.006408642573810753,0.004531594622142393,0.0067185421867883115,2,0.7472900383741632,0.009979724248180182,0.007056730690260027,0.010462308921379516,2,2.1366042075314025,0.12598920956586618,0.08908782444035701,0.13208160851527329,2
Cherekha,16,0.44528072776945704,0.019381307378892598,0.013704653875875827,0.020318519836373502,2,0.0946332658992517,0.0126494411960391,0.008944505647939721,0.01326112407363543,2,0.06427671062894727,0.021947395345130478,0.015519152077923828,0.023008694870729866,2,0.7102228720246807,0.05020722155022758,0.03550186682270129,0.05263506775133693,2,2.273222523440758,0.05534019532704109,0.039131427387938844,0.058016254245358126,2
Cherekha,17,0.6130806932436402,0.08034164561353292,0.010018614769711665,0.014853598257574513,3,-0.03327893139812226,0.023144441441790314,0.00875044871259726,0.012973415261296696,3,-0.08419076298750289,0.032034649555153165,0.02717535211777275,0.040290177049809875,3,0.48838442095488244,0.05707978733652006,0.015771256230957764,0.02338246448801798,3,3.4060361910979298,0.5082297425117374,0.12441375107123553,0.18445582733821378,3
Cherekha,18,0.5946752007822056,0.15635756611528964,0.11056149528994524,0.1639184729168728,2,-0.07615718846536688,0.09938196177218803,0.07027365909673638,0.10418772697682135,2,-0.11666614745495424,0.11934219275665729,0.08438767377990444,0.1251131651460863,2,0.4805043320178484,0.16534145869278818,0.11691406665294596,0.17333679521965767,2,3.5462411910756386,1.3931548595485073,0.9851092484297417,1.460522971721935,2
Cherekha,19,0.7067797596811529,0.027357387922983045,0.00032155185288140764,0.00047673277708197494,3,-0.16998318051307812,0.025306552841522934,0.0016392520009930744,0.002430355016672332,3,-0.2149886040785573,0.022446337223362964,0.009687464121107991,0.014362634305954707,3,0.3475851971784681,0.022409402470827327,0.011935344982169693,0.017695342470564788,3,4.530617509659556,0.26007222860342455,0.029921689543446206,0.04436189691711334,3
Cherekha,20,0.6934331388897206,0.17820404284633212,0.025486714981568515,0.03778660363167348,3,-0.12308417782334263,0.06101375461073309,0.029426853549422857,0.04362825307237433,3,-0.16970949166317062,0.05958931911132651,0.0309712618295159,0.04591799278844027,3,0.3946902902909817,0.09031120713786495,0.07440659299235675,0.1103152147704681,3,4.308932273948176,1.4288568564238415,0.5944135658232685,0.8812775526895779,3
Cherekha,21,0.7862145735435403,0.135157866995954,0.001103006848881427,0.0016353179541516037,3,-0.23965371898420967,0.017011842198830916,0.00479318196155426,0.007106371576200346,3,-0.27910712777509017,0.008045664213374623,0.003612686778757368,0.005356169418185674,3,0.27637653377725624,0.028630911149102087,0.006988633288241841,0.010361347713147354,3,6.315692416231295,2.0167490630923304,0.24373676651770637,0.36136413003915147,3
Cherekha,22,0.7284047820264874,0.22057918235138615,0.06649829547857533,0.09859037287653578,3,-0.2422578798399987,0.06495400481454934,0.0378576703180743,0.05612778201357695,3,-0.30354278870301843,0.06108708331143918,0.018413731386881405,0.02730019815419037,3,0.2729919732105029,0.11428569458694533,0.03469214194825623,0.05143456965248469,3,5.2480819114946815,2.283339533662233,1.2824884230805456,1.9014173360592168,3
Cherekha,23,0.7811969399422005,0.012772346968287877,0.0028980995826966005,0.00429672244130598,3,-0.2848188955563108,0.003322418585396128,0.00014681137722899473,0.0002176625478797076,3,-0.33203858079331966,0.008861074391839342,0.005819680736166011,0.008628258659439727,3,0.23999057421015713,0.003151291215091966,0.00183795373327994,0.002724950204960839,3,6.390132308725464,0.22081665591466018,0.1888795690001306,0.2800328489995936,3
Cherekha,24,0.7953241302394786,0.022485339370147177,0.019999944702313033,0.0296519180156493,3,-0.3008505988225489,0.03331492186279519,0.029557610923653888,0.043822113955409255,3,-0.33798784169233803,0.029822121647038867,0.01968398017406725,0.029183469006072105,3,0.2300394135905594,0.01967837688086843,0.015180913828965525,0.022507222842824286,3,6.72637696758773,0.45246772077666486,0.44476412542991284,0.6594072923623887,3
Cherekha,25,0.7578023171129606,0.04418278425911598,0.03124194636132316,0.04631930967529771,2,-0.3116732247996569,0.042825949965771264,0.03028251963155265,0.04489686360573996,2,-0.3583383924793855,0.04053628426702614,0.028663481489319742,0.04249647765606545,2,0.220572252745496,0.013978802380109985,0.00988450595584242,0.014654768530131972,2,5.389595527472098,1.5245975121065567,1.0780532393906856,1.5983217327206305,2
Cherekha,26,0.767511274449868,0.11116579812082791,0.08584116497430494,0.1272681111909045,3,-0.2829294883798363,0.02988512008843313,0.011475420874016762,0.01701345898781725,3,-0.337599466178444,0.020440887456255913,0.017030009254728584,0.025248691721060597,3,0.23813373735507068,0.014541015449790872,0.0032438508976986025,0.004809333340927948,3,5.910620938442617,2.520381345899737,2.127763428050706,3.1546220584279765,3
Cherekha,27,0.8251953531041223,0.06066136397102092,0.002874063503826463,0.004261086550773114,3,-0.2909652224919852,0.03844783407420922,0.007870007641139987,0.011668073328754143,3,-0.3360776741374619,0.036675778057768185,0.00176916491846979,0.0026229639081233103,3,0.22852430757153785,0.037921690097979306,0.0020705248546795674,0.0030697601495479265,3,7.311152409058945,1.153193313939822,0.5156688310223831,0.7645306088737852,3
Cherekha,28,0.8024440071963129,0.0247924480210415,0.0003868816577869971,0.000573590745835002,3,-0.2822447140925011,0.041184828221262515,0.006968889106249487,0.010332074988925488,3,-0.32232573964317807,0.0397804348710844,0.011556159260052767,0.01713316171895423,3,0.23737391309975464,0.0262917824004242,0.010527138676362763,0.015607535801575432,3,7.0233508441339225,0.9302109144682805,0.10484461106624643,0.15544262036681694,3
Cherekha,29,0.6854234065280396,0.2286938768335387,0.11339222939771698,0.1681153193050552,3,-0.2680138141826913,0.0491533932155252,0.022931305474435837,0.03399795349639857,3,-0.3046558723583978,0.03226255267322117,0.027202849167394072,0.04033094417557845,3,0.25574440122810393,0.07315894106734441,0.016970358034685495,0.025160252822224713,3,4.657535469223641,2.280026748841316,2.028816932412399,3.007923983994622,3
Cherekha,30,0.8008421374936776,0.33879310786325817,0.04587860375863162,0.06801961793254724,3,-0.2949486638368744,0.08227526583173952,0.027355423224857678,0.04055715047317399,3,-0.33399128733056427,0.05870734005520543,0.02331187065863205,0.034562179438487876,3,0.2225779029443958,0.11477391396437858,0.013731885592684678,0.020358893579714304,3,6.157318165717806,3.4505920266455927,2.123764642657992,3.148693459204739,3
Cherekha,31,0.7936361234680452,0.0445876645864741,0.03152823998636711,0.04674376860378788,2,-0.25532811457344357,0.02832298513056249,0.02002737484926649,0.029692585951522497,2,-0.2882801707273299,0.034541351283831574,0.024424423724143968,0.036211650613415844,2,0.24682359161018705,0.025440827813097172,0.017989381865640336,0.02667105755399836,2,6.362643656290585,1.4327801762811259,1.013128578598041,1.5020644306294555,2
Cherekha,32,0.5725073184568138,nan,nan,nan,1,-0.17765490226105865,nan,nan,nan,1,-0.23215769857906912,nan,nan,nan,1,0.41814420910462385,nan,nan,nan,1,3.3460251057700843,nan,nan,nan,1
Cherekha,33,0.6854798568919289,0.14167735775197896,0.10926698221613917,0.16199922783364792,3,-0.23552273329633855,0.05977704026837237,0.01846860656898225,0.02738155609917308,3,-0.2754787907953049,0.047491979936630534,0.01718155402788879,0.02547337200174792,3,0.2735810058395038,0.1112342757333421,0.03094667766450787,0.04588154430539937,3,3.1545824437573935,2.0081746186822063,0.24902675366742466,0.3692070649873238,3
Cherekha,34,0.36671079814309443,0.40127825410519613,0.28374657462048275,0.4206826715323277,2,-0.17458654692278874,0.09088638700509806,0.06426638056884976,0.09528133583137664,2,-0.2326668025275046,0.07080931120083027,0.05006974412125563,0.07423340263417359,2,0.42638362423334597,0.1691142904761148,0.11958186159121234,0.17729206799513142,2,3.0403979540242254,2.6475899739357573,1.8721288243714886,2.775618195013169,2
Cherekha,35,0.7149653223985977,nan,nan,nan,1,-0.2363625519756857,nan,nan,nan,1,-0.2815534244342813,nan,nan,nan,1,0.27133065656250077,nan,nan,nan,1,4.939923899821219,nan,nan,nan,1
Cherekha,36,0.7804041479034438,0.05627093284596181,0.03978955819907243,0.05899199898594478,2,-0.19596289818880913,0.08200900968654039,0.057989126867745974,0.08597467949412017,2,-0.22903842580694395,0.08218401119360876,0.058112871620111875,0.08615814346397786,2,0.28132898582717847,0.04715180283175094,0.03334135952750214,0.04943189963547467,2,6.111982800087642,1.3485158045179357,0.953544669911865,1.413725327611331,2
Cherekha,37,0.788070457097168,0.16987563759085514,0.0010271454750218068,0.0015228458812673307,3,-0.2326184184433585,0.06837751508071574,0.06644054454361245,0.09850475134035981,3,-0.2753192455427895,0.07526014327237227,0.07229602940294011,0.107186093192799,3,0.25795251789233836,0.0904552074501124,0.04572990520417036,0.06779915745570297,3,3.81296025442668,1.9247337057478715,1.3436516698180614,1.9920979656722577,3
Cherekha,38,0.7948368814088445,0.010902382621682761,0.00770914868288225,0.011429583837241223,2,-0.17484054373151064,0.012748686116946762,0.00901468240451185,0.013365168132929268,2,-0.22266760764881197,0.008317796089827198,0.0058815700196437615,0.00872001571112384,2,0.293399858585666,0.0021913979858589412,0.0015495523760793994,0.0022973663527753175,2,6.268836335668356,0.46069980665974863,0.3257639573804396,0.48297764321223974,2
Cherekha,39,0.7539692202720538,0.0509921071133699,0.03125260019602949,0.04633510505063332,3,-0.18165737528766526,0.048725531384187636,0.033160888308174874,0.04916433300570006,3,-0.21490316012029315,0.05386053406111702,0.04678363708115452,0.06936142033651968,3,0.31241555409708177,0.03402626932791244,0.032902690275241675,0.048781528602073305,3,4.717168773899331,0.5347464937393487,0.4210012689246172,0.6241764813076375,3
Cherekha,40,0.7549191040401957,nan,nan,nan,1,-0.1933960137418137,nan,nan,nan,1,-0.23042461185482527,nan,nan,nan,1,0.3084796307110509,nan,nan,nan,1,4.622004578882827,nan,nan,nan,1
Cherekha,41,0.5763409118730383,0.12040609639258507,0.08764739917772468,0.1299460340208946,3,-0.1682197238153316,0.02040758663243594,0.010007120025598087,0.014836556149951724,3,-0.2598247011559705,0.010270505758769727,0.006573914513736512,0.009746485658065752,3,0.3380936215367193,0.04010682549011638,0.039171720456646186,0.058075992749023635,3,3.1479062660655215,0.944533036638587,0.13331566754465873,0.19765380870171104,3
Cherekha,42,0.656026893708989,0.024715559634119456,0.017476539818106374,0.025910717934324506,2,-0.10132138760717022,0.00289187050543563,0.0020448612447069026,0.0030317112814024537,2,-0.1854478727942956,0.016480159128161243,0.011653232274556197,0.017277082170257016,2,0.4005854598723276,0.028024144265211447,0.01981606244688111,0.029379294183745932,2,3.6258906094611216,0.2232261393293893,0.15784471685790424,0.2340205772135288,2
Cherekha,44,0.6286126367017906,nan,nan,nan,1,-0.024258423298961683,nan,nan,nan,1,-0.10148851759212815,nan,nan,nan,1,0.453295377771846,nan,nan,nan,1,3.023121996934883,nan,nan,nan,1
Cherekha,46,0.21293234472048886,nan,nan,nan,1,-0.07222966113075421,nan,nan,nan,1,-0.12309239230419348,nan,nan,nan,1,0.6523342940435788,nan,nan,nan,1,1.483283108628772,nan,nan,nan,1
Cherekha,47,0.4177222136954285,0.22727292843589755,0.043036565948704864,0.06380601267554983,3,-0.1543018536312729,0.04380074049342768,0.0348592091109734,0.051682263427929157,3,-0.15350842081152,0.07418299668030379,0.041181568788947576,0.061055793886493674,3,0.4611725688146452,0.22187738184329528,0.11428164247597494,0.16943396313488043,3,2.0770239579831866,0.6432812224282812,0.18895573643729957,0.2801457748419403,3
Cherekha,50,0.28718607121058753,nan,nan,nan,1,-0.1689229171033377,nan,nan,nan,1,-0.23536508588642197,nan,nan,nan,1,0.4628860268047893,nan,nan,nan,1,1.680029651297859,nan,nan,nan,1
Cherekha,51,0.13818611646493226,nan,nan,nan,1,-0.32698946687042896,nan,nan,nan,1,-0.5253443600062799,nan,nan,nan,1,0.19236592021559534,nan,nan,nan,1,1.2268606660293788,nan,nan,nan,1
Cherekha,52,0.3397779692628224,nan,nan,nan,1,-0.17425214131326516,nan,nan,nan,1,-0.15243047098165297,nan,nan,nan,1,0.4092250367074859,nan,nan,nan,1,1.761722455338273,nan,nan,nan,1
Chkalovsk,2,0.04003150529064368,nan,nan,nan,1,-0.2880981634009444,nan,nan,nan,1,-0.724514004655031,nan,nan,nan,1,0.1464352615536572,nan,nan,nan,1,1.066307731316167,nan,nan,nan,1
Chkalovsk,4,0.040858992340938885,nan,nan,nan,1,-0.3056472900002412,nan,nan,nan,1,-0.8009670110671253,nan,nan,nan,1,0.09182725043994897,nan,nan,nan,1,1.058340196742461,nan,nan,nan,1
Chkalovsk,5,0.044821521249181324,nan,nan,nan,1,-0.30176438483289114,nan,nan,nan,1,-0.7933248872166605,nan,nan,nan,1,0.10748923963267244,nan,nan,nan,1,1.0700179917226198,nan,nan,nan,1
Chkalovsk,6,0.014481469156719174,0.01532647398570526,0.010837453686971404,0.0160676088363038,2,-0.20045397049430183,0.12945392890684065,0.09153775098126823,0.13571386960482829,2,-0.4631445776531507,0.45541165973428327,0.3220246728295323,0.47743377993706454,2,0.35793038362653734,0.3542171573026704,0.25046935394134023,0.371345864153431,2,1.010405547535279,0.023706792345163614,0.016763233627446528,0.024853170176052222,2
Chkalovsk,7,0.2638067689127004,0.16165873494547708,0.07413436666091194,0.10991161201146804,3,0.01662781674283065,0.23114955360983194,0.1336640390395786,0.19817030428007923,3,-0.02938436797458814,0.4870327405836138,0.1134275068270722,0.16816762162181723,3,0.6755461771206571,0.3693394194015962,0.12927541902755746,0.19166373625025668,3,1.5859025160822977,0.38907160685082676,0.21078735340473842,0.31251333015786514,3
Chkalovsk,8,0.010726919500518116,nan,nan,nan,1,-0.2685704596628079,nan,nan,nan,1,-0.7452341664272426,nan,nan,nan,1,0.13948143341189995,nan,nan,nan,1,1.0077767126696588,nan,nan,nan,1
Chkalovsk,9,0.15284564643926218,0.21203191836708643,0.1499292073053593,0.2222850427509257,2,-0.0444213466081223,0.28662368248924525,0.20267354953680522,0.3004838045432674,2,-0.27426845625429075,0.5563728483864155,0.3934150139621093,0.5832770997002232,2,0.544751292812087,0.521995045889243,0.3691062366940667,0.5472369065226232,2,1.3295615580569315,0.48265779680684456,0.34129060111467857,0.5059974452126225,2
Chkalovsk,10,0.28721893303047275,0.100055988208624,0.013537639202614082,0.020070903881795638,3,0.13270619049757965,0.1677941351172638,0.04503600501189797,0.06677038103063992,3,0.0977412935796313,0.27457942827247284,0.04865016123854701,0.0721287290522698,3,0.8751938818869975,0.33410826823239126,0.05844730387571828,0.08665397272613992,3,1.6483879926909768,0.2710158945766136,0.05833599485993202,0.08648894597933521,3
