outlet_a,group_a,outlet_b,group_b,shared_clusters,jaccard
yle_en,unknown,yle_fi,unknown,6,0.7500
interfax,ru_state,kommersant,ru_state,11,0.3056
_generic_ru_state,ru_state,_generic_russian_state,ru_state,168,0.2679
TCH_channel,ukraine,uniannet,ukraine,18,0.2278
interfax,ru_state,rt_russian,ru_state,10,0.2174
TCH_channel,ukraine,suspilne_news,ukraine,11,0.1719
_generic_defense_osint,osint,breaking_defense,trusted,11,0.1719
insider_ua,ukraine,truexanewsua,ukraine,11,0.1667
interfax,ru_state,tass_ru,ru_state,10,0.1538
insider_ua,ukraine,uniannet,ukraine,13,0.1529
RVvoenkor,ru_state,colonel_cassad,ru_state,18,0.1500
kommersant,ru_state,tass_ru,ru_state,10,0.1471
TCH_channel,ukraine,insider_ua,ukraine,10,0.1449
rt_russian,ru_state,tass_ru,ru_state,11,0.1447
_generic_defense_osint,osint,defence_blog,trusted,10,0.1429
TCH_channel,ukraine,lachentyt,ru_state,9,0.1406
operativnoZSU,ukraine,uniannet,ukraine,13,0.1354
kommersant,ru_state,rt_russian,ru_state,7,0.1346
gerashchenko,ukraine,suspilne_news,ukraine,10,0.1333
RVvoenkor,ru_state,rybar,ru_state,10,0.1316
truexanewsua,ukraine,uniannet,ukraine,11,0.1310
TCH_channel,ukraine,gerashchenko,ukraine,10,0.1282
rybar,ru_state,voenacher,ru_state,7,0.1273
RVvoenkor,ru_state,uniannet,ukraine,12,0.1263
pul_1,ru_state,tass_ru,ru_state,8,0.1250
insider_ua,ukraine,operativnoZSU,ukraine,10,0.1235
insider_ua,ukraine,lachentyt,ru_state,8,0.1212
_generic_russian_independent,independent,meduza,unknown,3,0.1200
TCH_channel,ukraine,truexanewsua,ukraine,8,0.1176
rusich_army,ru_state,rybar,ru_state,6,0.1176
colonel_cassad,ru_state,rybar,ru_state,13,0.1150
_generic_pro_kremlin,ru_state,_generic_t1,trusted,13,0.1140
nexta_live,independent,sternenko,ukraine,8,0.1127
_generic_estonian_media,trusted,_generic_t1,trusted,31,0.1115
RVvoenkor,ru_state,operativnoZSU,ukraine,10,0.1111
operativnoZSU,ukraine,wartranslated,independent,9,0.1111
lachentyt,ru_state,truexanewsua,ukraine,7,0.1094
gerashchenko,ukraine,lachentyt,ru_state,8,0.1067
nexta_live,independent,uniannet,ukraine,10,0.1064
suspilne_news,ukraine,truexanewsua,ukraine,7,0.1061
pul_1,ru_state,rt_russian,ru_state,5,0.1042
TCH_channel,ukraine,nexta_live,independent,8,0.1039
gerashchenko,ukraine,uniannet,ukraine,10,0.1031
RVvoenkor,ru_state,truexanewsua,ukraine,8,0.1026
gerashchenko,ukraine,operativnoZSU,ukraine,9,0.0989
_generic_estonian_media,trusted,_generic_russian_language_ee,ru_proxy,23,0.0979
sternenko,ukraine,uniannet,ukraine,8,0.0964
lachentyt,ru_state,uniannet,ukraine,8,0.0952
lachentyt,ru_state,suspilne_news,ukraine,6,0.0938
suspilne_news,ukraine,uniannet,ukraine,8,0.0930
_generic_russian_language_ee,ru_proxy,mke_ee,trusted,5,0.0926
_generic_baltic_media,trusted,_generic_t2,trusted,26,0.0925
postimees_rus,trusted,tribuna_ee,trusted,2,0.0909
uniannet,ukraine,wartranslated,independent,8,0.0899
RVvoenkor,ru_state,gerashchenko,ukraine,8,0.0889
RVvoenkor,ru_state,voenacher,ru_state,6,0.0882
operativnoZSU,ukraine,truexanewsua,ukraine,7,0.0864
_generic_pro_kremlin,ru_state,_generic_russian_language_ee,ru_proxy,6,0.0857
insider_ua,ukraine,suspilne_news,ukraine,6,0.0857
TCH_channel,ukraine,operativnoZSU,ukraine,7,0.0843
15min_lt,trusted,15min_lt_lt,trusted,2,0.0833
voenacher,ru_state,wargonzo,ru_state,3,0.0811
lachentyt,ru_state,sternenko,ukraine,5,0.0806
colonel_cassad,ru_state,nexta_live,independent,10,0.0800
dva_majors,ru_state,rybar,ru_state,5,0.0794
_generic_estonian_media,trusted,_generic_pro_kremlin,ru_state,18,0.0789
interfax,ru_state,pul_1,ru_state,3,0.0789
rybar,ru_state,yurasumy,ru_state,4,0.0784
sternenko,ukraine,suspilne_news,ukraine,5,0.0781
_generic_baltic_media,trusted,_generic_t1,trusted,18,0.0779
nexta_live,independent,rybar,ru_state,6,0.0779
nexta_live,independent,operativnoZSU,ukraine,7,0.0778
_generic_government,trusted,tribuna_ee,trusted,1,0.0769
dva_majors,ru_state,voenacher,ru_state,4,0.0769
pravda_en,unknown,suspilne_news,ukraine,3,0.0769
_generic_estonian_media,trusted,_generic_t2,trusted,26,0.0762
nexta_live,independent,readovkanews,ru_state,6,0.0759
colonel_cassad,ru_state,insider_ua,ukraine,9,0.0750
insider_ua,ukraine,nexta_live,independent,6,0.0750
voenacher,ru_state,yurasumy,ru_state,3,0.0750
TCH_channel,ukraine,sternenko,ukraine,5,0.0746
_generic_baltic_media,trusted,delfi_lt_rus,trusted,12,0.0741
err_business,trusted,err_en,trusted,2,0.0741
operativnoZSU,ukraine,suspilne_news,ukraine,6,0.0741
postimees_et,trusted,yle_en,unknown,2,0.0741
RVvoenkor,ru_state,TCH_channel,ukraine,6,0.0732
colonel_cassad,ru_state,uniannet,ukraine,10,0.0730
dva_majors,ru_state,uniannet,ukraine,6,0.0723
gerashchenko,ukraine,insider_ua,ukraine,6,0.0723
_generic_defense_osint,osint,_generic_t2,trusted,14,0.0722
kommersant,ru_state,meduza,unknown,2,0.0714
rusich_army,ru_state,voenacher,ru_state,3,0.0714
suspilne_news,ukraine,wartranslated,independent,5,0.0714
_generic_baltic_media,trusted,lsm_en,trusted,11,0.0705
uniannet,ukraine,yurasumy,ru_state,5,0.0704
_generic_baltic_media,trusted,_generic_estonian_media,trusted,24,0.0698
_generic_t2,trusted,_generic_ukraine_media,ukraine,21,0.0695
15min_lt_lt,trusted,postimees_et,trusted,2,0.0690
colonel_cassad,ru_state,operativnoZSU,ukraine,9,0.0687
TCH_channel,ukraine,wartranslated,independent,5,0.0685
_generic_estonian_media,trusted,err_en,trusted,15,0.0685
RVvoenkor,ru_state,nexta_live,independent,6,0.0674
15min_lt_lt,trusted,tvnet,unknown,1,0.0667
15min_lt_lt,trusted,yle_fi,unknown,1,0.0667
RVvoenkor,ru_state,dva_majors,ru_state,5,0.0667
_generic_russian_independent,independent,kommersant,ru_state,3,0.0667
err_business,trusted,err_rus,trusted,2,0.0667
err_rus,trusted,tribuna_ee,trusted,2,0.0667
nexta_live,independent,yurasumy,ru_state,4,0.0667
pravda_en,unknown,uniannet,ukraine,4,0.0667
dva_majors,ru_state,yurasumy,ru_state,3,0.0652
RVvoenkor,ru_state,sternenko,ukraine,5,0.0649
gerashchenko,ukraine,sternenko,ukraine,5,0.0649
RVvoenkor,ru_state,lachentyt,ru_state,5,0.0641
RVvoenkor,ru_state,yurasumy,ru_state,4,0.0635
operativnoZSU,ukraine,sternenko,ukraine,5,0.0633
dva_majors,ru_state,rusich_army,ru_state,3,0.0625
lachentyt,ru_state,operativnoZSU,ukraine,5,0.0625
tvnet,unknown,vz_lt,trusted,1,0.0625
gerashchenko,ukraine,truexanewsua,ukraine,5,0.0617
_generic_baltic_media,trusted,lsm_rus,trusted,10,0.0613
delfi_lt_rus,trusted,mke_ee,trusted,2,0.0606
_generic_russian_language_ee,ru_proxy,tribuna_ee,trusted,3,0.0600
nach_shtabu,ru_state,rybar,ru_state,3,0.0600
RVvoenkor,ru_state,interfax,ru_state,4,0.0597
RVvoenkor,ru_state,insider_ua,ukraine,5,0.0595
15min_lt,trusted,delfi_lt_rus,trusted,2,0.0588
15min_lt_lt,trusted,yle_en,unknown,1,0.0588
_generic_baltic_media,trusted,_generic_russian_language_ee,ru_proxy,11,0.0588
mke_ee,trusted,montyan,ru_state,2,0.0588
postimees_et,trusted,postimees_rus,trusted,2,0.0588
sternenko,ukraine,wartranslated,independent,4,0.0588
lachentyt,ru_state,montyan,ru_state,3,0.0577
nexta_live,independent,shot_shot,ru_state,4,0.0571
insider_ua,ukraine,rezident_ua,ru_state,3,0.0566
15min_lt,trusted,interfax,ru_state,2,0.0556
err_rus,trusted,mke_ee,trusted,2,0.0556
err_rus,trusted,postimees_rus,trusted,2,0.0556
_generic_t1,trusted,_generic_t2,trusted,13,0.0553
montyan,ru_state,rybar,ru_state,3,0.0545
montyan,ru_state,yurasumy,ru_state,2,0.0541
15min_lt_lt,trusted,RVvoenkor,ru_state,3,0.0536
15min_lt_lt,trusted,gerashchenko,ukraine,3,0.0536
dva_majors,ru_state,shot_shot,ru_state,3,0.0536
_generic_russian_independent,independent,rybar,ru_state,3,0.0526
colonel_cassad,ru_state,dva_majors,ru_state,6,0.0526
lachentyt,ru_state,nexta_live,independent,4,0.0526
RVvoenkor,ru_state,tass_ru,ru_state,5,0.0515
15min_lt_lt,trusted,vz_lt,trusted,1,0.0500
mke_ee,trusted,pravda_en,unknown,1,0.0500
_generic_russian_language_ee,ru_proxy,err_en,trusted,3,0.0492
defence_blog,trusted,wartranslated,independent,3,0.0492
lenta_ru,ru_state,tass_ru,ru_state,3,0.0492
colonel_cassad,ru_state,yurasumy,ru_state,5,0.0490
err_en,trusted,err_rus,trusted,2,0.0488
_generic_estonian_media,trusted,err_rus,trusted,11,0.0487
err_business,trusted,lsm_en,trusted,1,0.0476
gerashchenko,ukraine,wartranslated,independent,4,0.0476
kommersant,ru_state,pul_1,ru_state,2,0.0476
nach_shtabu,ru_state,pravda_en,unknown,1,0.0476
TCH_channel,ukraine,shot_shot,ru_state,3,0.0469
_generic_russian_independent,independent,_generic_russian_language_ee,ru_proxy,3,0.0469
_generic_russian_language_ee,ru_proxy,err_rus,trusted,3,0.0469
_generic_russian_independent,independent,interfax,ru_state,2,0.0465
lenta_ru,ru_state,rt_russian,ru_state,2,0.0465
colonel_cassad,ru_state,voenacher,ru_state,5,0.0459
deepstatemap,ukraine,lachentyt,ru_state,2,0.0455
meduza,unknown,spravdi,trusted,1,0.0455
operativnoZSU,ukraine,spravdi,trusted,3,0.0455
_generic_russian_language_ee,ru_proxy,_generic_t1,trusted,6,0.0451
RVvoenkor,ru_state,postimees_et,trusted,3,0.0448
rybar,ru_state,sternenko,ukraine,3,0.0448
sternenko,ukraine,truexanewsua,ukraine,3,0.0448
dva_majors,ru_state,insider_ua,ukraine,3,0.0441
gerashchenko,ukraine,nexta_live,independent,4,0.0440
rybar,ru_state,uniannet,ukraine,4,0.0440
err_rus,trusted,kommersant,ru_state,2,0.0435
mke_ee,trusted,sternenko,ukraine,2,0.0435
mke_ee,trusted,tribuna_ee,trusted,1,0.0435
lachentyt,ru_state,wartranslated,independent,3,0.0429
mke_ee,trusted,uniannet,ukraine,3,0.0429
15min_lt_lt,trusted,TCH_channel,ukraine,2,0.0426
lachentyt,ru_state,mke_ee,trusted,2,0.0426
RVvoenkor,ru_state,kommersant,ru_state,3,0.0423
15min_lt,trusted,rt_russian,ru_state,2,0.0417
15min_lt,trusted,tribuna_ee,trusted,1,0.0417
_generic_government,trusted,err_en,trusted,1,0.0417
_generic_pro_kremlin,ru_state,spravdi,trusted,2,0.0417
deepstatemap,ukraine,ukrinform,trusted,1,0.0417
readovkanews,ru_state,rybar,ru_state,3,0.0411
mke_ee,trusted,suspilne_news,ukraine,2,0.0408
sternenko,ukraine,yurasumy,ru_state,2,0.0408
TCH_channel,ukraine,colonel_cassad,ru_state,5,0.0407
insider_ua,ukraine,rybar,ru_state,3,0.0405
_generic_pro_kremlin,ru_state,err_en,trusted,2,0.0400
mke_ee,trusted,rybar,ru_state,2,0.0400
rybar,ru_state,wargonzo,ru_state,2,0.0400
dva_majors,ru_state,interfax,ru_state,2,0.0392
rezident_ua,ru_state,rybar,ru_state,2,0.0392
15min_lt,trusted,vz_lt,trusted,1,0.0385
interfax,ru_state,meduza,unknown,1,0.0385
montyan,ru_state,sternenko,ukraine,2,0.0385
postimees_et,trusted,yle_fi,unknown,1,0.0385
dva_majors,ru_state,operativnoZSU,ukraine,3,0.0380
nexta_live,independent,suspilne_news,ukraine,3,0.0380
_generic_pro_kremlin,ru_state,err_rus,trusted,2,0.0377
gerashchenko,ukraine,pravda_en,unknown,2,0.0377
insider_ua,ukraine,mke_ee,trusted,2,0.0377
nexta_live,independent,truexanewsua,ukraine,3,0.0375
deepstatemap,ukraine,nach_shtabu,ru_state,1,0.0370
deepstatemap,ukraine,rezident_ua,ru_state,1,0.0370
defence_blog,trusted,dva_majors,ru_state,2,0.0370
RVvoenkor,ru_state,suspilne_news,ukraine,3,0.0366
nexta_live,independent,wartranslated,independent,3,0.0366
nexta_live,independent,vz_lt,trusted,2,0.0364
_generic_russian_state,ru_state,tass_ru,ru_state,22,0.0360
err_en,trusted,tribuna_ee,trusted,1,0.0357
montyan,ru_state,truexanewsua,ukraine,2,0.0357
operativnoZSU,ukraine,rybar,ru_state,3,0.0353
readovkanews,ru_state,rusich_army,ru_state,2,0.0351
RVvoenkor,ru_state,lenta_ru,ru_state,2,0.0345
mke_ee,trusted,postimees_rus,trusted,1,0.0345
insider_ua,ukraine,montyan,ru_state,2,0.0339
interfax,ru_state,readovkanews,ru_state,2,0.0339
_generic_russian_state,ru_state,rt_russian,ru_state,20,0.0337
15min_lt,trusted,postimees_rus,trusted,1,0.0333
defence_blog,trusted,pravda_en,unknown,1,0.0333
defence_blog,trusted,truexanewsua,ukraine,2,0.0333
delfi_lt_rus,trusted,vz_lt,trusted,1,0.0333
interfax,ru_state,tribuna_ee,trusted,1,0.0333
mke_ee,trusted,nach_shtabu,ru_state,1,0.0333
nach_shtabu,ru_state,nexta_live,independent,2,0.0333
nexta_live,independent,rezident_ua,ru_state,2,0.0333
_generic_estonian_media,trusted,err_business,trusted,7,0.0324
RVvoenkor,ru_state,wargonzo,ru_state,2,0.0323
colonel_cassad,ru_state,readovkanews,ru_state,4,0.0323
dva_majors,ru_state,sternenko,ukraine,2,0.0323
lsm_en,trusted,lsm_rus,trusted,1,0.0323
voenacher,ru_state,wartranslated,independent,2,0.0323
_generic_russian_independent,independent,_generic_ukraine_media,ukraine,6,0.0321
RVvoenkor,ru_state,nach_shtabu,ru_state,2,0.0317
gerashchenko,ukraine,nach_shtabu,ru_state,2,0.0317
deepstatemap,ukraine,montyan,ru_state,1,0.0312
interfax,ru_state,lenta_ru,ru_state,1,0.0312
mke_ee,trusted,operativnoZSU,ukraine,2,0.0312
mke_ee,trusted,yurasumy,ru_state,1,0.0312
wargonzo,ru_state,yurasumy,ru_state,1,0.0312
_generic_t1,trusted,bellingcat,unknown,3,0.0309
shot_shot,ru_state,wartranslated,independent,2,0.0308
insider_ua,ukraine,shot_shot,ru_state,2,0.0303
kommersant,ru_state,tribuna_ee,trusted,1,0.0303
postimees_rus,trusted,tass_ru,ru_state,2,0.0303
rezident_ua,ru_state,yurasumy,ru_state,1,0.0303
shot_shot,ru_state,yle_fi,unknown,1,0.0303
15min_lt,trusted,tass_ru,ru_state,2,0.0299
RVvoenkor,ru_state,rusich_army,ru_state,2,0.0299
colonel_cassad,ru_state,gerashchenko,ukraine,4,0.0299
operativnoZSU,ukraine,yurasumy,ru_state,2,0.0299
uniannet,ukraine,vz_lt,trusted,2,0.0299
_generic_data_source,data_source,_generic_defense_osint,osint,4,0.0296
15min_lt_lt,trusted,kommersant,ru_state,1,0.0294
15min_lt_lt,trusted,voenacher,ru_state,1,0.0294
TCH_channel,ukraine,dva_majors,ru_state,2,0.0294
err_en,trusted,mke_ee,trusted,1,0.0294
err_en,trusted,postimees_rus,trusted,1,0.0294
_generic_baltic_media,trusted,err_rus,trusted,5,0.0291
RVvoenkor,ru_state,err_rus,trusted,2,0.0286
delfi_lt_rus,trusted,nach_shtabu,ru_state,1,0.0286
err_rus,trusted,lsm_en,trusted,1,0.0286
readovkanews,ru_state,sternenko,ukraine,2,0.0286
shot_shot,ru_state,yle_en,unknown,1,0.0286
colonel_cassad,ru_state,rusich_army,ru_state,3,0.0283
TCH_channel,ukraine,rt_russian,ru_state,2,0.0282
insider_ua,ukraine,sternenko,ukraine,2,0.0282
_generic_ru_state,ru_state,_generic_t2,trusted,10,0.0279
_generic_estonian_media,trusted,postimees_en,unknown,6,0.0279
_generic_pro_kremlin,ru_state,meduza,unknown,1,0.0278
interfax,ru_state,postimees_rus,trusted,1,0.0278
montyan,ru_state,nach_shtabu,ru_state,1,0.0278
montyan,ru_state,rezident_ua,ru_state,1,0.0278
nach_shtabu,ru_state,uniannet,ukraine,2,0.0278
postimees_et,trusted,rezident_ua,ru_state,1,0.0278
_generic_baltic_media,trusted,_generic_pro_kremlin,ru_state,5,0.0276
15min_lt_lt,trusted,shot_shot,ru_state,1,0.0270
_generic_russian_independent,independent,mke_ee,trusted,1,0.0270
_generic_russian_independent,independent,tass_ru,ru_state,2,0.0270
defence_blog,trusted,lsm_en,trusted,1,0.0270
defence_blog,trusted,ukrinform,trusted,1,0.0270
kommersant,ru_state,operativnoZSU,ukraine,2,0.0270
rusich_army,ru_state,spravdi,trusted,1,0.0270
rusich_army,ru_state,yurasumy,ru_state,1,0.0270
truexanewsua,ukraine,wartranslated,independent,2,0.0270
dva_majors,ru_state,nexta_live,independent,2,0.0267
15min_lt,trusted,err_rus,trusted,1,0.0263
_generic_russian_language_ee,ru_proxy,lachentyt,ru_state,2,0.0263
delfi_lt_rus,trusted,pul_1,ru_state,1,0.0263
postimees_et,trusted,yurasumy,ru_state,1,0.0263
pravda_en,unknown,sternenko,ukraine,1,0.0263
insider_ua,ukraine,wartranslated,independent,2,0.0260
montyan,ru_state,uniannet,ukraine,2,0.0260
operativnoZSU,ukraine,shot_shot,ru_state,2,0.0260
kommersant,ru_state,postimees_rus,trusted,1,0.0256
lachentyt,ru_state,pravda_en,unknown,1,0.0256
lachentyt,ru_state,tvnet,unknown,1,0.0256
pravda_en,unknown,rt_russian,ru_state,1,0.0256
_generic_russian_state,ru_state,interfax,ru_state,15,0.0256
_generic_russian_state,ru_state,kommersant,ru_state,15,0.0254
_generic_russian_language_ee,ru_proxy,rybar,ru_state,2,0.0253
15min_lt,trusted,kommersant,ru_state,1,0.0250
_generic_pro_kremlin,ru_state,err_business,trusted,1,0.0250
_generic_pro_kremlin,ru_state,tribuna_ee,trusted,1,0.0250
defence_blog,trusted,nach_shtabu,ru_state,1,0.0250
montyan,ru_state,rusich_army,ru_state,1,0.0250
RVvoenkor,ru_state,rt_russian,ru_state,2,0.0247
defence_blog,trusted,uniannet,ukraine,2,0.0247
uniannet,ukraine,voenacher,ru_state,2,0.0247
_generic_russian_independent,independent,pul_1,ru_state,1,0.0244
_generic_russian_language_ee,ru_proxy,insider_ua,ukraine,2,0.0244
dva_majors,ru_state,lenta_ru,ru_state,1,0.0244
dva_majors,ru_state,tass_ru,ru_state,2,0.0244
err_rus,trusted,lsm_rus,trusted,1,0.0244
_generic_baltic_media,trusted,mke_ee,trusted,4,0.0242
_generic_russian_independent,independent,delfi_lt_rus,trusted,1,0.0238
_generic_russian_independent,independent,err_en,trusted,1,0.0238
delfi_lt_rus,trusted,err_rus,trusted,1,0.0238
gerashchenko,ukraine,rybar,ru_state,2,0.0238
pravda_en,unknown,truexanewsua,ukraine,1,0.0238
rt_russian,ru_state,tribuna_ee,trusted,1,0.0238
shot_shot,ru_state,uniannet,ukraine,2,0.0238
spravdi,trusted,voenacher,ru_state,1,0.0238
15min_lt_lt,trusted,lachentyt,ru_state,1,0.0233
RVvoenkor,ru_state,readovkanews,ru_state,2,0.0233
_generic_government,trusted,wartranslated,independent,1,0.0233
err_rus,trusted,postimees_et,trusted,1,0.0233
meduza,unknown,readovkanews,ru_state,1,0.0233
shot_shot,ru_state,warfakes,ru_state,1,0.0233
_generic_baltic_media,trusted,_generic_russian_independent,independent,4,0.0231
_generic_data_source,data_source,_generic_government,trusted,2,0.0230
TCH_channel,ukraine,pravda_en,unknown,1,0.0227
TCH_channel,ukraine,tvnet,unknown,1,0.0227
_generic_pro_kremlin,ru_state,lsm_en,trusted,1,0.0227
breaking_defense,trusted,defence_blog,trusted,1,0.0227
err_rus,trusted,interfax,ru_state,1,0.0227
lachentyt,ru_state,vz_lt,trusted,1,0.0227
pravda_en,unknown,wartranslated,independent,1,0.0227
tass_ru,ru_state,truexanewsua,ukraine,2,0.0227
tvnet,unknown,wartranslated,independent,1,0.0227
_generic_ukraine_media,ukraine,deepstatemap,ukraine,4,0.0225
_generic_estonian_media,trusted,postimees_rus,trusted,5,0.0223
_generic_russian_independent,independent,err_rus,trusted,1,0.0222
dva_majors,ru_state,wargonzo,ru_state,1,0.0222
insider_ua,ukraine,tvnet,unknown,1,0.0222
insider_ua,ukraine,yle_fi,unknown,1,0.0222
rt_russian,ru_state,uniannet,ukraine,2,0.0222
shot_shot,ru_state,yurasumy,ru_state,1,0.0222
insider_ua,ukraine,tass_ru,ru_state,2,0.0220
_generic_pro_kremlin,ru_state,mke_ee,trusted,1,0.0217
_generic_pro_kremlin,ru_state,postimees_rus,trusted,1,0.0217
_generic_t2,trusted,suspilne_news,ukraine,4,0.0216
TCH_channel,ukraine,tribuna_ee,trusted,1,0.0213
_generic_russian_independent,independent,voenacher,ru_state,1,0.0213
insider_ua,ukraine,yle_en,unknown,1,0.0213
15min_lt_lt,trusted,wartranslated,independent,1,0.0208
_generic_government,trusted,_generic_russian_language_ee,ru_proxy,1,0.0208
deepstatemap,ukraine,rybar,ru_state,1,0.0208
deepstatemap,ukraine,truexanewsua,ukraine,1,0.0208
nach_shtabu,ru_state,sternenko,ukraine,1,0.0208
postimees_et,trusted,shot_shot,ru_state,1,0.0208
postimees_rus,trusted,rt_russian,ru_state,1,0.0208
rezident_ua,ru_state,sternenko,ukraine,1,0.0208
_generic_estonian_media,trusted,_generic_russian_state,ru_state,16,0.0206
15min_lt_lt,trusted,insider_ua,ukraine,1,0.0204
TCH_channel,ukraine,vz_lt,trusted,1,0.0204
_generic_russian_language_ee,ru_proxy,yle_fi,unknown,1,0.0204
lachentyt,ru_state,nach_shtabu,ru_state,1,0.0204
lachentyt,ru_state,rezident_ua,ru_state,1,0.0204
vz_lt,trusted,wartranslated,independent,1,0.0204
_generic_russian_language_ee,ru_proxy,postimees_en,unknown,1,0.0200
_generic_russian_language_ee,ru_proxy,uniannet,ukraine,2,0.0200
_generic_t1,trusted,postimees_en,unknown,2,0.0200
breaking_defense,trusted,dva_majors,ru_state,1,0.0200
insider_ua,ukraine,vz_lt,trusted,1,0.0200
meduza,unknown,nexta_live,independent,1,0.0200
_generic_ukraine_media,ukraine,suspilne_news,ukraine,4,0.0198
_generic_pro_kremlin,ru_state,delfi_lt_rus,trusted,1,0.0196
_generic_russian_language_ee,ru_proxy,yle_en,unknown,1,0.0196
colonel_cassad,ru_state,mke_ee,trusted,2,0.0196
colonel_cassad,ru_state,postimees_rus,trusted,2,0.0196
colonel_cassad,ru_state,wargonzo,ru_state,2,0.0196
deepstatemap,ukraine,insider_ua,ukraine,1,0.0196
lachentyt,ru_state,spravdi,trusted,1,0.0196
lachentyt,ru_state,yurasumy,ru_state,1,0.0196
mke_ee,trusted,truexanewsua,ukraine,1,0.0196
