outlet_a,group_a,outlet_b,group_b,shared_clusters,jaccard
nach_shtabu,ru_state,suspilne_news,ukraine,1,0.0196
nexta_live,independent,tvnet,unknown,1,0.0196
nexta_live,independent,yle_fi,unknown,1,0.0196
operativnoZSU,ukraine,tass_ru,ru_state,2,0.0196
truexanewsua,ukraine,wargonzo,ru_state,1,0.0196
ukrinform,trusted,wartranslated,independent,1,0.0196
_generic_ukraine_media,ukraine,wartranslated,independent,4,0.0195
colonel_cassad,ru_state,nach_shtabu,ru_state,2,0.0194
colonel_cassad,ru_state,rezident_ua,ru_state,2,0.0194
_generic_russian_language_ee,ru_proxy,err_business,trusted,1,0.0192
_generic_t1,trusted,lenta_ru,ru_state,2,0.0192
breaking_defense,trusted,sternenko,ukraine,1,0.0192
nach_shtabu,ru_state,truexanewsua,ukraine,1,0.0192
rezident_ua,ru_state,truexanewsua,ukraine,1,0.0192
TCH_channel,ukraine,mke_ee,trusted,1,0.0189
TCH_channel,ukraine,postimees_rus,trusted,1,0.0189
TCH_channel,ukraine,wargonzo,ru_state,1,0.0189
_generic_russian_independent,independent,dva_majors,ru_state,1,0.0189
nexta_live,independent,yle_en,unknown,1,0.0189
postimees_et,trusted,sternenko,ukraine,1,0.0189
spravdi,trusted,suspilne_news,ukraine,1,0.0189
15min_lt,trusted,TCH_channel,ukraine,1,0.0185
colonel_cassad,ru_state,montyan,ru_state,2,0.0185
colonel_cassad,ru_state,postimees_et,trusted,2,0.0185
gerashchenko,ukraine,tvnet,unknown,1,0.0185
insider_ua,ukraine,wargonzo,ru_state,1,0.0185
nach_shtabu,ru_state,wartranslated,independent,1,0.0185
readovkanews,ru_state,rezident_ua,ru_state,1,0.0185
rybar,ru_state,spravdi,trusted,1,0.0185
spravdi,trusted,truexanewsua,ukraine,1,0.0185
tass_ru,ru_state,uniannet,ukraine,2,0.0183
15min_lt_lt,trusted,nexta_live,independent,1,0.0182
dva_majors,ru_state,kommersant,ru_state,1,0.0182
insider_ua,ukraine,nach_shtabu,ru_state,1,0.0182
interfax,ru_state,lachentyt,ru_state,1,0.0182
pul_1,ru_state,truexanewsua,ukraine,1,0.0182
_generic_t1,trusted,spravdi,trusted,2,0.0180
TCH_channel,ukraine,yurasumy,ru_state,1,0.0179
_generic_russian_independent,independent,lachentyt,ru_state,1,0.0179
delfi_lt_rus,trusted,rybar,ru_state,1,0.0179
err_rus,trusted,rt_russian,ru_state,1,0.0179
operativnoZSU,ukraine,pravda_en,unknown,1,0.0179
operativnoZSU,ukraine,yle_fi,unknown,1,0.0179
readovkanews,ru_state,yurasumy,ru_state,1,0.0179
spravdi,trusted,wartranslated,independent,1,0.0179
_generic_t1,trusted,delfi_lt_rus,trusted,2,0.0177
_generic_t2,trusted,breaking_defense,trusted,3,0.0176
_generic_t2,trusted,delfi_lt_rus,trusted,3,0.0176
RVvoenkor,ru_state,tribuna_ee,trusted,1,0.0175
deepstatemap,ukraine,nexta_live,independent,1,0.0175
defence_blog,trusted,sternenko,ukraine,1,0.0175
insider_ua,ukraine,spravdi,trusted,1,0.0175
insider_ua,ukraine,yurasumy,ru_state,1,0.0175
meduza,unknown,tass_ru,ru_state,1,0.0175
postimees_et,trusted,rybar,ru_state,1,0.0175
sternenko,ukraine,voenacher,ru_state,1,0.0175
colonel_cassad,ru_state,shot_shot,ru_state,2,0.0174
_generic_russian_language_ee,ru_proxy,postimees_rus,trusted,1,0.0172
breaking_defense,trusted,wartranslated,independent,1,0.0172
defence_blog,trusted,lachentyt,ru_state,1,0.0172
interfax,ru_state,truexanewsua,ukraine,1,0.0172
operativnoZSU,ukraine,yle_en,unknown,1,0.0172
_generic_estonian_media,trusted,_generic_russian_independent,independent,4,0.0172
TCH_channel,ukraine,montyan,ru_state,1,0.0169
_generic_ru_state,ru_state,kommersant,ru_state,4,0.0169
delfi_lt_rus,trusted,insider_ua,ukraine,1,0.0169
gerashchenko,ukraine,vz_lt,trusted,1,0.0169
operativnoZSU,ukraine,tribuna_ee,trusted,1,0.0169
postimees_et,trusted,readovkanews,ru_state,1,0.0169
_generic_russian_independent,independent,_generic_russian_state,ru_state,10,0.0169
RVvoenkor,ru_state,deepstatemap,ukraine,1,0.0167
TCH_channel,ukraine,interfax,ru_state,1,0.0167
_generic_ukraine_media,ukraine,ukrinform,trusted,3,0.0167
colonel_cassad,ru_state,sternenko,ukraine,2,0.0167
deepstatemap,ukraine,gerashchenko,ukraine,1,0.0167
defence_blog,trusted,suspilne_news,ukraine,1,0.0167
insider_ua,ukraine,postimees_et,trusted,1,0.0167
mke_ee,trusted,nexta_live,independent,1,0.0167
nexta_live,independent,wargonzo,ru_state,1,0.0167
suspilne_news,ukraine,voenacher,ru_state,1,0.0167
_generic_russian_state,ru_state,_generic_t2,trusted,12,0.0166
_generic_data_source,data_source,wartranslated,independent,2,0.0165
colonel_cassad,ru_state,lachentyt,ru_state,2,0.0165
colonel_cassad,ru_state,rt_russian,ru_state,2,0.0165
_generic_pro_kremlin,ru_state,_generic_t2,trusted,3,0.0165
TCH_channel,ukraine,err_rus,trusted,1,0.0164
_generic_russian_independent,independent,readovkanews,ru_state,1,0.0164
kommersant,ru_state,truexanewsua,ukraine,1,0.0164
rt_russian,ru_state,shot_shot,ru_state,1,0.0164
tass_ru,ru_state,tribuna_ee,trusted,1,0.0164
_generic_ru_state,ru_state,rt_russian,ru_state,4,0.0163
_generic_russian_language_ee,ru_proxy,lsm_rus,trusted,1,0.0161
colonel_cassad,ru_state,truexanewsua,ukraine,2,0.0161
RVvoenkor,ru_state,mke_ee,trusted,1,0.0159
RVvoenkor,ru_state,postimees_rus,trusted,1,0.0159
TCH_channel,ukraine,kommersant,ru_state,1,0.0159
TCH_channel,ukraine,voenacher,ru_state,1,0.0159
_generic_russian_language_ee,ru_proxy,delfi_lt_rus,trusted,1,0.0159
kommersant,ru_state,readovkanews,ru_state,1,0.0159
nexta_live,independent,spravdi,trusted,1,0.0159
shot_shot,ru_state,suspilne_news,ukraine,1,0.0159
tvnet,unknown,uniannet,ukraine,1,0.0159
_generic_ru_state,ru_state,_generic_russian_language_ee,ru_proxy,4,0.0157
15min_lt,trusted,RVvoenkor,ru_state,1,0.0156
RVvoenkor,ru_state,rezident_ua,ru_state,1,0.0156
RVvoenkor,ru_state,warfakes,ru_state,1,0.0156
_generic_russian_language_ee,ru_proxy,montyan,ru_state,1,0.0156
dva_majors,ru_state,lachentyt,ru_state,1,0.0156
shot_shot,ru_state,truexanewsua,ukraine,1,0.0156
_generic_russian_language_ee,ru_proxy,_generic_t2,trusted,3,0.0155
operativnoZSU,ukraine,postimees_rus,trusted,1,0.0154
_generic_baltic_media,trusted,_generic_russian_state,ru_state,11,0.0152
15min_lt,trusted,operativnoZSU,ukraine,1,0.0152
RVvoenkor,ru_state,spravdi,trusted,1,0.0152
gerashchenko,ukraine,yurasumy,ru_state,1,0.0152
montyan,ru_state,nexta_live,independent,1,0.0152
nexta_live,independent,postimees_et,trusted,1,0.0152
operativnoZSU,ukraine,rezident_ua,ru_state,1,0.0152
readovkanews,ru_state,shot_shot,ru_state,1,0.0152
rt_russian,ru_state,sternenko,ukraine,1,0.0152
tribuna_ee,trusted,uniannet,ukraine,1,0.0152
15min_lt_lt,trusted,uniannet,ukraine,1,0.0149
RVvoenkor,ru_state,pul_1,ru_state,1,0.0149
_generic_defense_osint,osint,lsm_en,trusted,1,0.0149
_generic_pro_kremlin,ru_state,suspilne_news,ukraine,1,0.0149
dva_majors,ru_state,truexanewsua,ukraine,1,0.0149
lachentyt,ru_state,rt_russian,ru_state,1,0.0149
tass_ru,ru_state,wargonzo,ru_state,1,0.0149
_generic_russian_state,ru_state,readovkanews,ru_state,9,0.0148
_generic_ukraine_media,ukraine,rybar,ru_state,3,0.0147
err_rus,trusted,nexta_live,independent,1,0.0147
RVvoenkor,ru_state,montyan,ru_state,1,0.0145
_generic_defense_osint,osint,mke_ee,trusted,1,0.0145
dva_majors,ru_state,readovkanews,ru_state,1,0.0145
dva_majors,ru_state,wartranslated,independent,1,0.0145
gerashchenko,ukraine,postimees_et,trusted,1,0.0145
rt_russian,ru_state,suspilne_news,ukraine,1,0.0145
colonel_cassad,ru_state,tass_ru,ru_state,2,0.0143
lachentyt,ru_state,rybar,ru_state,1,0.0143
rt_russian,ru_state,truexanewsua,ukraine,1,0.0143
montyan,ru_state,operativnoZSU,ukraine,1,0.0141
operativnoZSU,ukraine,postimees_et,trusted,1,0.0141
interfax,ru_state,operativnoZSU,ukraine,1,0.0139
lachentyt,ru_state,readovkanews,ru_state,1,0.0139
postimees_rus,trusted,uniannet,ukraine,1,0.0139
uniannet,ukraine,wargonzo,ru_state,1,0.0139
15min_lt,trusted,uniannet,ukraine,1,0.0137
defence_blog,trusted,gerashchenko,ukraine,1,0.0137
err_rus,trusted,operativnoZSU,ukraine,1,0.0137
gerashchenko,ukraine,kommersant,ru_state,1,0.0137
gerashchenko,ukraine,voenacher,ru_state,1,0.0137
rezident_ua,ru_state,uniannet,ukraine,1,0.0137
rybar,ru_state,truexanewsua,ukraine,1,0.0137
_generic_estonian_media,trusted,tribuna_ee,trusted,3,0.0136
_generic_defense_osint,osint,err_en,trusted,1,0.0135
_generic_russian_language_ee,ru_proxy,dva_majors,ru_state,1,0.0135
_generic_russian_state,ru_state,_generic_ukraine_media,ukraine,10,0.0135
readovkanews,ru_state,suspilne_news,ukraine,1,0.0135
err_rus,trusted,tass_ru,ru_state,1,0.0133
operativnoZSU,ukraine,voenacher,ru_state,1,0.0133
readovkanews,ru_state,truexanewsua,ukraine,1,0.0133
rybar,ru_state,wartranslated,independent,1,0.0133
spravdi,trusted,uniannet,ukraine,1,0.0133
_generic_estonian_media,trusted,_generic_ukraine_media,ukraine,5,0.0132
RVvoenkor,ru_state,shot_shot,ru_state,1,0.0132
_generic_russian_language_ee,ru_proxy,sternenko,ukraine,1,0.0132
gerashchenko,ukraine,shot_shot,ru_state,1,0.0132
_generic_russian_state,ru_state,rybar,ru_state,8,0.0131
_generic_ru_state,ru_state,_generic_t1,trusted,4,0.0131
TCH_channel,ukraine,readovkanews,ru_state,1,0.0130
_generic_defense_osint,osint,_generic_russian_independent,independent,1,0.0130
_generic_pro_kremlin,ru_state,nexta_live,independent,1,0.0130
_generic_russian_language_ee,ru_proxy,_generic_russian_state,ru_state,8,0.0130
tass_ru,ru_state,voenacher,ru_state,1,0.0130
_generic_data_source,data_source,_generic_t2,trusted,3,0.0128
_generic_government,trusted,_generic_t2,trusted,2,0.0128
insider_ua,ukraine,readovkanews,ru_state,1,0.0128
postimees_et,trusted,uniannet,ukraine,1,0.0128
dva_majors,ru_state,gerashchenko,ukraine,1,0.0127
interfax,ru_state,uniannet,ukraine,1,0.0127
_generic_russian_language_ee,ru_proxy,truexanewsua,ukraine,1,0.0125
err_rus,trusted,uniannet,ukraine,1,0.0125
_generic_t2,trusted,lenta_ru,ru_state,2,0.0123
TCH_channel,ukraine,_generic_russian_language_ee,ru_proxy,1,0.0122
gerashchenko,ukraine,rt_russian,ru_state,1,0.0122
kommersant,ru_state,uniannet,ukraine,1,0.0122
_generic_ru_state,ru_state,readovkanews,ru_state,3,0.0120
operativnoZSU,ukraine,rt_russian,ru_state,1,0.0119
_generic_russian_state,ru_state,pul_1,ru_state,7,0.0118
_generic_estonian_media,trusted,_generic_ru_state,ru_state,5,0.0118
_generic_baltic_media,trusted,spravdi,trusted,2,0.0118
_generic_defense_osint,osint,dva_majors,ru_state,1,0.0118
_generic_t2,trusted,lsm_rus,trusted,2,0.0118
_generic_baltic_media,trusted,err_en,trusted,2,0.0116
RVvoenkor,ru_state,wartranslated,independent,1,0.0115
_generic_russian_independent,independent,_generic_t2,trusted,2,0.0115
gerashchenko,ukraine,readovkanews,ru_state,1,0.0115
_generic_t2,trusted,defence_blog,trusted,2,0.0114
_generic_ru_state,ru_state,tass_ru,ru_state,3,0.0113
RVvoenkor,ru_state,_generic_russian_state,ru_state,7,0.0113
operativnoZSU,ukraine,readovkanews,ru_state,1,0.0112
TCH_channel,ukraine,tass_ru,ru_state,1,0.0110
readovkanews,ru_state,tass_ru,ru_state,1,0.0110
_generic_russian_language_ee,ru_proxy,gerashchenko,ukraine,1,0.0109
_generic_ukraine_media,ukraine,rusich_army,ru_state,2,0.0106
_generic_russian_state,ru_state,colonel_cassad,ru_state,7,0.0106
readovkanews,ru_state,uniannet,ukraine,1,0.0104
colonel_cassad,ru_state,tribuna_ee,trusted,1,0.0103
15min_lt_lt,trusted,colonel_cassad,ru_state,1,0.0102
_generic_defense_osint,osint,_generic_russian_language_ee,ru_proxy,1,0.0102
_generic_government,trusted,_generic_t1,trusted,1,0.0101
_generic_t1,trusted,meduza,unknown,1,0.0101
_generic_t1,trusted,yle_fi,unknown,1,0.0100
gerashchenko,ukraine,tass_ru,ru_state,1,0.0099
_generic_t1,trusted,yle_en,unknown,1,0.0098
_generic_t1,trusted,err_business,trusted,1,0.0097
TCH_channel,ukraine,_generic_ukraine_media,ukraine,2,0.0097
_generic_baltic_media,trusted,_generic_defense_osint,osint,2,0.0097
15min_lt,trusted,colonel_cassad,ru_state,1,0.0096
_generic_russian_language_ee,ru_proxy,_generic_ukraine_media,ukraine,2,0.0094
colonel_cassad,ru_state,spravdi,trusted,1,0.0094
_generic_baltic_media,trusted,_generic_ukraine_media,ukraine,3,0.0093
_generic_t1,trusted,lsm_en,trusted,1,0.0093
colonel_cassad,ru_state,delfi_lt_rus,trusted,1,0.0093
_generic_estonian_media,trusted,meduza,unknown,2,0.0092
_generic_t1,trusted,postimees_rus,trusted,1,0.0092
colonel_cassad,ru_state,interfax,ru_state,1,0.0091
colonel_cassad,ru_state,err_rus,trusted,1,0.0090
_generic_ru_state,ru_state,lenta_ru,ru_state,2,0.0089
_generic_estonian_media,trusted,lsm_en,trusted,2,0.0089
_generic_ru_state,ru_state,deepstatemap,ukraine,2,0.0089
colonel_cassad,ru_state,kommersant,ru_state,1,0.0088
_generic_estonian_media,trusted,mke_ee,trusted,2,0.0088
_generic_estonian_media,trusted,spravdi,trusted,2,0.0087
_generic_t1,trusted,err_rus,trusted,1,0.0085
_generic_ru_state,ru_state,interfax,ru_state,2,0.0085
_generic_ru_state,ru_state,_generic_russian_independent,independent,2,0.0085
_generic_estonian_media,trusted,kommersant,ru_state,2,0.0084
_generic_ru_state,ru_state,voenacher,ru_state,2,0.0084
_generic_russian_state,ru_state,delfi_lt_rus,trusted,5,0.0084
colonel_cassad,ru_state,suspilne_news,ukraine,1,0.0081
_generic_data_source,data_source,_generic_ukraine_media,ukraine,2,0.0079
colonel_cassad,ru_state,wartranslated,independent,1,0.0079
_generic_ru_state,ru_state,_generic_ukraine_media,ukraine,3,0.0079
_generic_t1,trusted,suspilne_news,ukraine,1,0.0077
_generic_data_source,data_source,_generic_russian_state,ru_state,5,0.0076
_generic_russian_language_ee,ru_proxy,colonel_cassad,ru_state,1,0.0076
_generic_t1,trusted,nexta_live,independent,1,0.0071
_generic_russian_state,ru_state,mke_ee,trusted,4,0.0068
_generic_russian_state,ru_state,voenacher,ru_state,4,0.0067
_generic_russian_state,ru_state,sternenko,ukraine,4,0.0066
_generic_baltic_media,trusted,_generic_government,trusted,1,0.0063
_generic_baltic_media,trusted,meduza,unknown,1,0.0063
_generic_baltic_media,trusted,tvnet,unknown,1,0.0063
_generic_baltic_media,trusted,postimees_en,unknown,1,0.0063
_generic_social_media,unknown,_generic_t2,trusted,1,0.0063
_generic_baltic_media,trusted,_generic_social_media,unknown,1,0.0062
_generic_t2,trusted,err_business,trusted,1,0.0062
_generic_t2,trusted,tribuna_ee,trusted,1,0.0062
_generic_baltic_media,trusted,err_business,trusted,1,0.0062
_generic_baltic_media,trusted,tribuna_ee,trusted,1,0.0062
_generic_t2,trusted,lsm_en,trusted,1,0.0061
_generic_t2,trusted,ukrinform,trusted,1,0.0061
_generic_t2,trusted,mke_ee,trusted,1,0.0060
_generic_t2,trusted,rezident_ua,ru_state,1,0.0060
15min_lt,trusted,_generic_baltic_media,trusted,1,0.0059
_generic_baltic_media,trusted,nach_shtabu,ru_state,1,0.0059
_generic_baltic_media,trusted,lv_portals,trusted,1,0.0059
_generic_t2,trusted,spravdi,trusted,1,0.0059
_generic_baltic_media,trusted,pul_1,ru_state,1,0.0058
_generic_t2,trusted,montyan,ru_state,1,0.0058
_generic_t2,trusted,interfax,ru_state,1,0.0057
_generic_t2,trusted,err_rus,trusted,1,0.0057
_generic_t2,trusted,kommersant,ru_state,1,0.0056
_generic_t2,trusted,voenacher,ru_state,1,0.0056
_generic_baltic_media,trusted,defence_blog,trusted,1,0.0056
_generic_data_source,data_source,_generic_t1,trusted,1,0.0056
_generic_ukraine_media,ukraine,notesfrompoland,unknown,1,0.0056
_generic_t2,trusted,shot_shot,ru_state,1,0.0056
_generic_t2,trusted,dva_majors,ru_state,1,0.0055
_generic_ukraine_media,ukraine,rezident_ua,ru_state,1,0.0054
_generic_baltic_media,trusted,lachentyt,ru_state,1,0.0053
_generic_ukraine_media,ukraine,spravdi,trusted,1,0.0053
_generic_ukraine_media,ukraine,yurasumy,ru_state,1,0.0053
_generic_ukraine_media,ukraine,pul_1,ru_state,1,0.0053
_generic_baltic_media,trusted,suspilne_news,ukraine,1,0.0053
_generic_t2,trusted,rybar,ru_state,1,0.0053
_generic_ukraine_media,ukraine,breaking_defense,trusted,1,0.0053
_generic_ukraine_media,ukraine,delfi_lt_rus,trusted,1,0.0053
_generic_baltic_media,trusted,rybar,ru_state,1,0.0053
_generic_ukraine_media,ukraine,montyan,ru_state,1,0.0053
_generic_t2,trusted,insider_ua,ukraine,1,0.0052
_generic_ukraine_media,ukraine,err_rus,trusted,1,0.0052
_generic_baltic_media,trusted,insider_ua,ukraine,1,0.0052
_generic_russian_state,ru_state,meduza,unknown,3,0.0052
_generic_ukraine_media,ukraine,voenacher,ru_state,1,0.0052
_generic_russian_state,ru_state,lenta_ru,ru_state,3,0.0051
_generic_t2,trusted,nexta_live,independent,1,0.0051
_generic_baltic_media,trusted,nexta_live,independent,1,0.0050
_generic_russian_state,ru_state,montyan,ru_state,3,0.0050
_generic_ukraine_media,ukraine,dva_majors,ru_state,1,0.0050
RVvoenkor,ru_state,_generic_t2,trusted,1,0.0050
_generic_t2,trusted,gerashchenko,ukraine,1,0.0050
RVvoenkor,ru_state,_generic_baltic_media,trusted,1,0.0050
_generic_russian_state,ru_state,dva_majors,ru_state,3,0.0049
_generic_ukraine_media,ukraine,lachentyt,ru_state,1,0.0049
_generic_russian_state,ru_state,insider_ua,ukraine,3,0.0049
_generic_ukraine_media,ukraine,readovkanews,ru_state,1,0.0048
_generic_russian_state,ru_state,gerashchenko,ukraine,3,0.0048
_generic_defense_osint,osint,_generic_russian_state,ru_state,3,0.0047
_generic_russian_state,ru_state,uniannet,ukraine,3,0.0047
RVvoenkor,ru_state,_generic_ukraine_media,ukraine,1,0.0046
_generic_estonian_media,trusted,_generic_government,trusted,1,0.0046
_generic_ukraine_media,ukraine,gerashchenko,ukraine,1,0.0046
_generic_ukraine_media,ukraine,operativnoZSU,ukraine,1,0.0045
_generic_estonian_media,trusted,_generic_social_media,unknown,1,0.0045
_generic_estonian_media,trusted,notesfrompoland,unknown,1,0.0045
_generic_ru_state,ru_state,notesfrompoland,unknown,1,0.0045
_generic_ru_state,ru_state,tribuna_ee,trusted,1,0.0045
_generic_defense_osint,osint,_generic_ukraine_media,ukraine,1,0.0045
_generic_russian_state,ru_state,_generic_t1,trusted,3,0.0045
_generic_ru_state,ru_state,ukrinform,trusted,1,0.0044
_generic_ru_state,ru_state,warfakes,ru_state,1,0.0043
_generic_estonian_media,trusted,delfi_lt_rus,trusted,1,0.0043
_generic_ru_state,ru_state,pul_1,ru_state,1,0.0043
_generic_estonian_media,trusted,postimees_et,trusted,1,0.0043
_generic_ru_state,ru_state,rusich_army,ru_state,1,0.0043
_generic_ru_state,ru_state,err_rus,trusted,1,0.0042
_generic_estonian_media,trusted,voenacher,ru_state,1,0.0042
_generic_baltic_media,trusted,colonel_cassad,ru_state,1,0.0041
_generic_ru_state,ru_state,shot_shot,ru_state,1,0.0041
_generic_estonian_media,trusted,dva_majors,ru_state,1,0.0041
_generic_ru_state,ru_state,dva_majors,ru_state,1,0.0041
_generic_pro_kremlin,ru_state,_generic_ru_state,ru_state,1,0.0041
_generic_ru_state,ru_state,sternenko,ukraine,1,0.0040
_generic_ru_state,ru_state,lachentyt,ru_state,1,0.0040
_generic_estonian_media,trusted,suspilne_news,ukraine,1,0.0040
_generic_estonian_media,trusted,rybar,ru_state,1,0.0040
_generic_ru_state,ru_state,rybar,ru_state,1,0.0040
_generic_ukraine_media,ukraine,colonel_cassad,ru_state,1,0.0039
_generic_estonian_media,trusted,nexta_live,independent,1,0.0039
RVvoenkor,ru_state,_generic_estonian_media,trusted,1,0.0038
RVvoenkor,ru_state,_generic_ru_state,ru_state,1,0.0038
_generic_t1,trusted,_generic_ukraine_media,ukraine,1,0.0038
_generic_defense_osint,osint,_generic_estonian_media,trusted,1,0.0037
_generic_government,trusted,_generic_russian_state,ru_state,2,0.0034
_generic_russian_state,ru_state,notesfrompoland,unknown,2,0.0034
_generic_russian_state,ru_state,tribuna_ee,trusted,2,0.0034
_generic_russian_state,ru_state,nach_shtabu,ru_state,2,0.0034
_generic_data_source,data_source,_generic_ru_state,ru_state,1,0.0034
_generic_russian_state,ru_state,yurasumy,ru_state,2,0.0034
_generic_russian_state,ru_state,err_en,trusted,2,0.0033
_generic_russian_state,ru_state,err_rus,trusted,2,0.0033
_generic_russian_state,ru_state,shot_shot,ru_state,2,0.0033
_generic_russian_state,ru_state,lachentyt,ru_state,2,0.0033
_generic_russian_state,ru_state,wartranslated,independent,2,0.0032
_generic_russian_state,ru_state,operativnoZSU,ukraine,2,0.0032
_generic_baltic_media,trusted,_generic_ru_state,ru_state,1,0.0027
_generic_russian_state,ru_state,deepstatemap,ukraine,1,0.0017
_generic_russian_state,ru_state,rezident_ua,ru_state,1,0.0017
_generic_russian_state,ru_state,warfakes,ru_state,1,0.0017
_generic_russian_state,ru_state,rusich_army,ru_state,1,0.0017
_generic_russian_state,ru_state,postimees_et,trusted,1,0.0017
_generic_russian_state,ru_state,defence_blog,trusted,1,0.0017
_generic_pro_kremlin,ru_state,_generic_russian_state,ru_state,1,0.0016
_generic_russian_state,ru_state,truexanewsua,ukraine,1,0.0016
_generic_russian_state,ru_state,nexta_live,independent,1,0.0016
